dataset,task,basis,seed,mode,score,loss,delta_from_normal
cifar10,reconstruction,dct_top33,626,normal,0.8465029001235962,0.15299437940120697,0.0
cifar10,reconstruction,dct_top33,626,zero_bias,0.22787505388259888,0.7700111269950867,0.6186278462409973
cifar10,reconstruction,dct_top33,626,shuffle_bias,0.04356354475021362,0.9537437558174133,0.8029393553733826
cifar10,reconstruction,dct_top33,626,axis_only_bias,0.7986011505126953,0.20070873200893402,0.04790174961090088
cifar10,reconstruction,dct_top33,626,obl_residual_only_bias,0.6789968013763428,0.32004857063293457,0.16750609874725342
cifar10,reconstruction,dct_top33,626,axis_plus_obl_residual,0.8465325236320496,0.15296700596809387,-2.962350845336914e-05
cifar10,reconstruction,dct_top33,626,axis_plus_shuffled_residual,0.6774008274078369,0.3215155601501465,0.16910207271575928
cifar10,reconstruction,dct_top33,626,topk_spectrum_only_bias,0.6828555464744568,0.3161180913448334,0.1636473536491394
