dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,raw,interior_only,-0.026051532477140427,0.06306640803813934,1.0235291719436646,1.053378939628601,0.7742033004760742,0.07525558769702911,1.8796693086624146,0.03954913094639778,0.5546688437461853,0.4929432272911072,0.47053980827331543,1.7644081691298077e-15,0.6972939372062683,0.22103729844093323,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629725933075,0.048845723271369934,0.7151572108268738,0.2848426401615143,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,raw,reflect_padding,-0.026051532477140427,0.06306640803813934,1.0235291719436646,1.247894048690796,0.8433989882469177,0.07525558024644852,2.362065315246582,0.03473523631691933,0.5546688437461853,0.4929432272911072,0.47053980827331543,1.7644081691298077e-15,0.6972939372062683,0.22103729844093323,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629725933075,0.048845723271369934,0.7151572108268738,0.2848426401615143,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,centered,interior_only,2.6490953874969136e-09,0.06306640803813934,0.945996105670929,1.053378939628601,0.7742033004760742,0.07525557279586792,1.879669427871704,0.03954912722110748,0.4019654393196106,0.4929431676864624,0.5508307218551636,0.0,0.6972938179969788,0.22103726863861084,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629427909851,0.04884571582078934,0.7151574492454529,0.28484266996383667,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,centered,reflect_padding,2.6490953874969136e-09,0.06306640803813934,0.945996105670929,1.247894048690796,0.8433989882469177,0.07525557279586792,2.362065315246582,0.03473523259162903,0.4019654393196106,0.4929431676864624,0.5508307218551636,0.0,0.6972938179969788,0.22103726863861084,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629427909851,0.04884571582078934,0.7151574492454529,0.28484266996383667,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,normalized,interior_only,1.8543667712478396e-09,0.06666666269302368,1.0,1.1770800352096558,0.8651198148727417,0.08409302681684494,2.1004037857055664,0.03954912722110748,0.44916921854019165,0.5508307814598083,0.5508307814598083,2.526374232766069e-16,0.6972938179969788,0.22103729844093323,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629129886627,0.048845723271369934,0.7151573300361633,0.28484266996383667,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,0,normalized,reflect_padding,1.8543667712478396e-09,0.06666666269302368,1.0,1.394437313079834,0.9424413442611694,0.08409301936626434,2.639448642730713,0.03473523259162903,0.44916921854019165,0.5508307814598083,0.5508307814598083,2.526374232766069e-16,0.6972938179969788,0.22103729844093323,0.46766936779022217,0.5508307814598083,0.5038913488388062,0.4472629129886627,0.048845723271369934,0.7151573300361633,0.28484266996383667,-0.09337568283081055
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,1,raw,interior_only,-0.02893088571727276,0.07363922894001007,1.1867769956588745,0.5750325322151184,0.5449970960617065,0.06759260594844818,1.1815555095672607,0.056914228945970535,0.9258481860160828,0.4825914800167084,0.342642605304718,0.0,0.6436908841133118,0.36755070090293884,0.4792015552520752,0.3955293297767639,0.8061743974685669,0.1504131555557251,0.04341243579983711,0.6924383640289307,0.30756160616874695,0.3275483250617981
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,1,raw,reflect_padding,-0.02893088571727276,0.07363922894001007,1.1867769956588745,0.7239444255828857,0.9581711888313293,0.06759261339902878,1.9423904418945312,0.03863079100847244,0.9258481860160828,0.4825914800167084,0.342642605304718,0.0,0.6436908841133118,0.36755070090293884,0.4792015552520752,0.3955293297767639,0.8061743974685669,0.1504131555557251,0.04341243579983711,0.6924383640289307,0.30756160616874695,0.3275483250617981
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,1,centered,interior_only,-9.271833856239198e-10,0.07363922894001007,1.1045883893966675,0.5750325322151184,0.5449970364570618,0.06759261339902878,1.1815555095672607,0.05691424012184143,0.7375240325927734,0.4825914800167084,0.3955293297767639,3.2353165814977768e-18,0.6436909437179565,0.36755073070526123,0.4792015552520752,0.3955293595790863,0.8061744570732117,0.1504131704568863,0.04341243952512741,0.6924383640289307,0.30756160616874695,0.3275483250617981
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,0,1,centered,reflect_padding,-9.271833856239198e-10,0.07363922894001007,1.1045883893966675,0.7239444851875305,0.9581711888313293,0.06759260594844818,1.9423902034759521,0.038630787283182144,0.7375240325927734,0.4825914800167084,0.3955293297767639,3.2353165814977768e-18,0.6436909437179565,0.36755073070526123,0.4792015552520752,0.3955293595790863,0.8061744570732117,0.1504131704568863,0.04341243952512741,0.6924383640289307,0.30756160616874695,0.3275483250617981
