target_family,target,model,noise,n,r2_vis_clean_mean,r2_vis_clean_std,r2_vis_clean_min,r2_vis_clean_max,r2_full_mean,r2_full_std,r2_full_min,r2_full_max,r2_ext_mean,r2_ext_std,r2_ext_min,r2_ext_max,heldout_rms_mean,heldout_rms_std,heldout_rms_min,heldout_rms_max,ext_outer_rms_mean,ext_outer_rms_std,ext_outer_rms_min,ext_outer_rms_max,condition_number_mean,condition_number_std,condition_number_min,condition_number_max,coeff_norm_mean,coeff_norm_std,coeff_norm_min,coeff_norm_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max
J0,j0_cos,axis_j0,0.0,400,0.41003560856425414,0.3113892896253732,0.005321293208596867,0.9148606415004336,0.11287429117468237,0.39055475727683103,-0.4001204913483336,0.9241437580138702,-0.44206948807189916,0.5586989499388646,-1.116726617105777,0.6078602770867926,0.7022926145547035,0.1921417994889895,0.22811455532984304,0.9223462910121111,0.8661569087459644,0.21106559855048335,0.48525805194246724,1.1089320536533582,24.381472983114556,46.780933344445884,1.116156561154396,165.43555169151023,4.287679204402962,2.693698205359493,0.46703212434049846,9.523770459488548,4.486833604085655,0.4287257441446742,3.7391398840362435,4.9969811206991
J0,j0_cos,axis_j0,0.01,400,0.4100295756440209,0.3113893774400891,0.005306540063059195,0.9148602089123532,0.11282730813807794,0.39054975498512384,-0.4036946381036415,0.9245171332505313,-0.4423340387340804,0.5587591859497741,-1.122652348563661,0.6137218183072792,0.7023209004221593,0.1921281527761383,0.22743731107778348,0.9238524711549265,0.8662514242983125,0.21105549578201918,0.4815093711185022,1.1188435218035149,24.381472983114556,46.780933344445884,1.116156561154396,165.43555169151023,4.292586107038473,2.7026110871758124,0.451641398026004,9.678461681025384,4.486833604085655,0.4287257441446742,3.7391398840362435,4.9969811206991
J0,j0_cos,axis_j0,0.05,400,0.4098802082418318,0.3113970900447176,0.005007178666498691,0.914845979762162,0.1125727369464191,0.3906081996327928,-0.4251597156427722,0.9255248045903647,-0.44376074587324765,0.5592894109001362,-1.2360424077651602,0.6237775705889761,0.7024525176201609,0.19205379430056196,0.22554492332615797,0.9328285171815338,0.8668207017162028,0.2107836818416286,0.4750624301720939,1.1721013610808773,24.381472983114556,46.780933344445884,1.116156561154396,165.43555169151023,4.331736821976481,2.7928335976420002,0.42124350356867046,12.750265159165894,4.486833604085655,0.4287257441446742,3.7391398840362435,4.9969811206991
J0,j0_cos,coord_shuffle_j2,0.0,400,0.1507204545516507,0.11167533539676086,0.00317969276541874,0.45922028832219064,-0.15808721338253956,0.2178448558731756,-0.6725395097072446,0.22815523584328368,-0.19641915317122752,0.2006488133150888,-0.9180390944179111,0.15590776605073486,0.8224858381746877,0.12403821257324867,0.6324049970132297,1.1282188463584428,0.7742044915808401,0.06905434020296214,0.6552385200811192,1.0257120214363327,267.39198220091663,553.5985755149094,3.7799290694805587,3319.0423047238583,37.23503070816583,84.53737803253775,0.9555020634890258,604.4627370707806,11.327224799790649,0.818185472188216,9.259553967656814,12.120383779253453
J0,j0_cos,coord_shuffle_j2,0.01,400,0.15070451985192457,0.11167520244381224,0.003160792482297059,0.4592050918455737,-0.15804787414661964,0.21777965543454597,-0.6739424154015101,0.2277838850444408,-0.196362715743128,0.20058490533353016,-0.9185841871101643,0.15677024844184906,0.82246912434519,0.1240042307293631,0.632181848926037,1.128733014448124,0.7741865947084301,0.06903784313401767,0.6549124260853277,1.0258407268268335,267.39198220091663,553.5985755149094,3.7799290694805587,3319.0423047238583,37.07954206977212,84.1526952138433,0.9558524031661247,605.4391550631954,11.327224799790649,0.818185472188216,9.259553967656814,12.120383779253453
J0,j0_cos,coord_shuffle_j2,0.05,400,0.1503157248715873,0.11168287487643187,0.0029331286702193315,0.4589285754368688,-0.15819459786628556,0.2176249575571839,-0.6802118656351679,0.22379271946148505,-0.19659319428542063,0.2006017426191155,-0.9081362974207468,0.15603726822283037,0.8224875477977016,0.12394140623713183,0.6323282454818554,1.1310180732454065,0.7742694891817391,0.06902346769834629,0.6552648795400469,1.023142136909013,267.39198220091663,553.5985755149094,3.7799290694805587,3319.0423047238583,37.26977759360264,84.33943777484235,0.9002992053704931,593.6313162508608,11.327224799790649,0.818185472188216,9.259553967656814,12.120383779253453
J0,j0_cos,dct_matched,0.0,400,0.999047483654873,0.0009103117052679662,0.9961347072567976,0.9999620738964928,-0.045971819059649144,0.1731097467892428,-0.27686748092266766,0.26401634189970236,-0.9177729636459102,0.37576439430257164,-1.2895551077188165,-0.214548389789726,0.8965303360899911,0.07826694261297283,0.7551384422689013,0.9978538503094473,1.0274581295290017,0.13137630875627507,0.7762284067214793,1.1572678743797682,1.0000000000000007,3.020133145511626e-16,1.0000000000000007,1.0000000000000013,6.259716189814238,0.20274129251163983,5.696406248155342,6.438023548127896,13.0,3.952144471470652e-15,12.999999999999995,13.000000000000005
J0,j0_cos,dct_matched,0.01,400,0.9990249244528384,0.0009090824977357739,0.9961092516401081,0.9999523281608221,-0.0458709000153422,0.173126953492938,-0.27966394086201407,0.2658289358714294,-0.9175603056653125,0.3757213456935044,-1.2928276229256985,-0.2118758552975124,0.8964821149972796,0.07827602389945203,0.7542054658122863,0.9989431770948701,1.0274007474387519,0.131366221616208,0.7754234986087654,1.1586404348985049,1.0000000000000007,3.1006841635969763e-16,1.0000000000000004,1.0000000000000016,6.259350983123588,0.20309248315845627,5.685178950487274,6.447060783539382,13.0,4.058499193176552e-15,12.999999999999995,13.000000000000005
J0,j0_cos,dct_matched,0.05,400,0.9983303421714538,0.0008321115768082089,0.9943996852132925,0.9995959195030374,-0.04591690687723309,0.1727658985090572,-0.30298097709306604,0.27638930500140657,-0.9176424084534409,0.37554494509827596,-1.3276004426776917,-0.19796715450363989,0.8964230575090387,0.07808573437787503,0.7486525874167393,1.0079434011928514,1.027434112201229,0.13128940808327316,0.7711287389745908,1.1656202105950466,1.0000000000000009,2.277987190955421e-16,1.0000000000000004,1.0000000000000016,6.261919496507666,0.20690857630441387,5.654271014698296,6.480031344164892,13.0,4.221417753426289e-15,12.999999999999995,13.000000000000005
J0,j0_cos,directional_j1,0.0,400,0.9999999999955521,1.26441972971389e-11,0.9999999999035848,0.9999999999999898,0.9999999999219611,5.627228740002415e-10,0.9999999938521791,0.9999999999998985,0.9999999995068849,3.6677536642033886e-09,0.9999999606504554,0.9999999999992113,2.5482205648464503e-06,7.4849660752300255e-06,2.651392182576906e-07,7.124470899268346e-05,4.459477705387882e-06,1.6672411226184634e-05,7.012435654483485e-07,0.00015383419793116459,2.5825078260333374,3.616431443653642,1.0023202123914914,30.116286507116186,6.262667090176481,0.2041197724749094,5.696174367381419,6.439909799873856,4.872549683775214,0.21139475537783572,3.9866172652954805,4.99999858297541
