ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,case_idx,target,target_family,model,noise
1e-12,0.0713568322718795,0.4610988321814272,4.078550461050981,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.0
1e-10,0.0713568322718795,0.4610988321814272,4.078550460563046,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.0
1e-08,0.0713568322718795,0.4610988321814272,4.078550411769408,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.0
1e-06,0.07135683227178435,0.46109883218147446,4.078545532412333,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.0
1e-12,1.0,4.992060354062164e-25,14.544778537632551,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.0
1e-10,1.0,4.9900658536403404e-21,14.544778536189034,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.0
1e-08,0.9999999999999999,4.990056425592854e-17,14.54477839183715,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.0
1e-06,0.999999999998995,4.99004617622596e-13,14.54476395666367,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.0
1e-12,0.051957703272153766,0.4707310741856339,3.4565105836104553,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.0
1e-10,0.05195770327215388,0.47073107418563387,3.456510583251512,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.0
1e-08,0.051957703272153766,0.4707310741856339,3.4565105473570417,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.0
1e-06,0.05195770327209437,0.4707310741856634,3.4565069579137577,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.0
1e-12,1.0,7.466655682885842e-23,14.54477853546528,31.55056941256085,8.294498624010922,0,j0_carrier,J0,toric_j0_cluster_matched13,0.0
1e-10,1.0,7.467264529735347e-19,14.544778319452613,31.55056941256085,8.294498624010922,0,j0_carrier,J0,toric_j0_cluster_matched13,0.0
1e-08,0.999999999999985,7.467250185528107e-15,14.54475671822221,31.55056941256085,8.294498624010922,0,j0_carrier,J0,toric_j0_cluster_matched13,0.0
1e-06,0.999999999849673,7.464181182366286e-11,14.542597105813435,31.55056941256085,8.294498624010922,0,j0_carrier,J0,toric_j0_cluster_matched13,0.0
1e-12,1.0,4.994814748211257e-25,14.544778537632544,1.101151160732916,6.99747212019436,0,j0_carrier,J0,full_j1,0.0
1e-10,1.0,4.9922346137238246e-21,14.5447785361884,1.101151160732916,6.99747212019436,0,j0_carrier,J0,full_j1,0.0
1e-08,0.9999999999999999,4.9922281010343633e-17,14.544778391773693,1.101151160732916,6.99747212019436,0,j0_carrier,J0,full_j1,0.0
1e-06,0.9999999999989946,4.99221786647656e-13,14.544763950317952,1.101151160732916,6.99747212019436,0,j0_carrier,J0,full_j1,0.0
1e-12,1.0,1.859086352800561e-24,14.544778537592796,3.7315620497154365,12.192931875466016,0,j0_carrier,J0,full_j2,0.0
1e-10,1.0,1.8602054680316522e-20,14.54477853221157,3.7315620497154365,12.192931875466016,0,j0_carrier,J0,full_j2,0.0
1e-08,0.9999999999999997,1.8602219106783332e-16,14.544777994088232,3.7315620497154365,12.192931875466016,0,j0_carrier,J0,full_j2,0.0
1e-06,0.9999999999962536,1.8602015385644726e-12,14.544724182104018,3.7315620497154365,12.192931875466016,0,j0_carrier,J0,full_j2,0.0
1e-12,1.0,1.1351630263288416e-24,14.544778537613954,2.693447733894166,6.59548632321196,0,j0_carrier,J0,directional_j2_one,0.0
1e-10,1.0,1.1359145802960629e-20,14.544778534327962,2.693447733894166,6.59548632321196,0,j0_carrier,J0,directional_j2_one,0.0
1e-08,0.9999999999999998,1.1359267119247752e-16,14.544778205728104,2.693447733894166,6.59548632321196,0,j0_carrier,J0,directional_j2_one,0.0
1e-06,0.9999999999977123,1.1359186504088246e-12,14.544745345883676,2.693447733894166,6.59548632321196,0,j0_carrier,J0,directional_j2_one,0.0
1e-12,0.986557993931827,0.006674354063653517,14.446936776761051,1.0000000000000033,13.0,0,j0_carrier,J0,dct_matched13,0.0
1e-10,0.986557993931827,0.006674354063653515,14.446936775330805,1.0000000000000033,13.0,0,j0_carrier,J0,dct_matched13,0.0
1e-08,0.9865579939318269,0.006674354063653563,14.446936632306134,1.0000000000000033,13.0,0,j0_carrier,J0,dct_matched13,0.0
1e-06,0.9865579939308379,0.0066743540641446076,14.44692232985317,1.0000000000000033,13.0,0,j0_carrier,J0,dct_matched13,0.0
1e-12,0.0029009899146691387,0.49508918505736293,1.3167388886438374,3.942778636213458,12.159299696930983,0,j0_carrier,J0,coord_shuffle_full_j2,0.0
1e-10,0.0029009899146692497,0.4950891850573629,1.3167388883385747,3.942778636213458,12.159299696930983,0,j0_carrier,J0,coord_shuffle_full_j2,0.0
1e-08,0.0029009899146692497,0.4950891850573629,1.3167388578123351,3.942778636213458,12.159299696930983,0,j0_carrier,J0,coord_shuffle_full_j2,0.0
1e-06,0.002900989914649932,0.4950891850573725,1.3167358052006344,3.942778636213458,12.159299696930983,0,j0_carrier,J0,coord_shuffle_full_j2,0.0
1e-12,0.07160743859454255,0.460721063534036,4.08594573368163,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.01
1e-10,0.07160743859454266,0.46072106353403597,4.08594573319225,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.01
1e-08,0.07160743859454255,0.460721063534036,4.085945684254063,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.01
1e-06,0.07160743859444696,0.4607210635340835,4.085940790442134,1.4613257071258936,4.964149796238107,0,j0_carrier,J0,axis_j0,0.01
1e-12,0.9999129835412568,4.3182503914577005e-05,14.540150100983032,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.01
1e-10,0.9999129835412568,4.318250391457695e-05,14.540150099539915,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.01
1e-08,0.9999129835412567,4.318250391462682e-05,14.540149955227609,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.01
1e-06,0.9999129835402518,4.318250441328596e-05,14.540135524011951,1.0511463665903937,2.999378252896405,0,j0_carrier,J0,toric_j0_single,0.01
1e-12,0.052242643840295866,0.47033097339887653,3.4633943464933075,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.01
1e-10,0.052242643840295755,0.4703309733988766,3.4633943461336094,1.2031741084560474,12.97924510649851,0,j0_carrier,J0,toric_j0_generic_matched13,0.01
