case_idx,target,target_family,model,noise,num_features,selected_ridge,condition_number,effective_rank,coeff_norm,r2_vis_clean,r2_vis_train,r2_full,r2_ext,heldout_rms,ext_outer_rms,ext_outer_pred_rms,max_abs_ext_pred,omega_t,omega_f,dir_t,dir_f
0,j0_carrier,J0,axis_j0,0.0,5,1e-06,1.4613257071258936,4.964149796238107,4.078545532412333,0.07135683227178435,0.07135683227178435,-0.07440318096711218,-0.1171090466825433,0.7719404606492882,0.7695649659459596,0.2127183779024264,0.41148793597709554,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,toric_j0_single,0.0,3,1e-06,1.0511463665903937,2.999378252896405,14.54476395666367,0.999999999998995,0.999999999998995,0.9999999999989907,0.9999999999989923,7.098236345847311e-07,7.124388293627098e-07,0.710342511827003,0.9999990327616853,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,toric_j0_generic_matched13,0.0,13,1e-06,1.2031741084560474,12.97924510649851,3.4565069579137577,0.05195770327209437,0.05195770327209437,-0.05717396585885015,-0.07070997445016469,0.7562167752953376,0.7412369611712882,0.15162169419229635,0.42187912927183085,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,toric_j0_cluster_matched13,0.0,13,1e-08,31.55056941256085,8.294498624010922,14.54475671822221,0.999999999999985,0.999999999999985,0.9999999999998797,0.9999999999995535,3.2294763700894903e-07,6.649148424329603e-07,0.7103426007760537,1.0000002024384382,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,full_j1,0.0,7,1e-06,1.101151160732916,6.99747212019436,14.544763950317952,0.9999999999989946,0.9999999999989946,0.9999999999989886,0.9999999999989894,7.110435302316147e-07,7.138367362278991e-07,0.7103425113979598,0.9999990320893185,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,full_j2,0.0,13,1e-06,3.7315620497154365,12.192931875466016,14.544724182104018,0.9999999999962536,0.9999999999962536,0.9999999999803965,0.9999999999064277,4.054956560402705e-06,9.816790726809192e-06,0.7103524655465816,1.0000107292537355,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,directional_j2_one,0.0,7,1e-06,2.693447733894166,6.59548632321196,14.544745345883676,0.9999999999977123,0.9999999999977123,0.9999999999933299,0.9999999999732097,2.2731262614949156e-06,5.1854319481319e-06,0.7103471027725694,0.9999980531112295,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,dct_matched13,0.0,13,1e-06,1.0000000000000033,13.0,14.44692232985317,0.9865579939308379,0.9865579939308379,-0.2788353555292975,-0.5189995810012986,1.081716963656613,0.9624238321272962,0.7058953544131206,1.1546317834354651,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,coord_shuffle_full_j2,0.0,13,1e-06,3.942778636213458,12.159299696930983,1.3167358052006344,0.002900989914649932,0.002900989914649932,-0.00705823795284366,-0.0054705941163348815,0.7106912784744189,0.7116570579910948,0.05228490586397887,0.15058758503793238,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,axis_j0,0.01,5,1e-06,1.4613257071258936,4.964149796238107,4.085940790442134,0.07135630375946633,0.07160743859444696,-0.07465914705086885,-0.11747507926222878,0.7720927351443627,0.7697324930124892,0.21319584926586166,0.41245977840156656,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
0,j0_carrier,J0,toric_j0_single,0.01,3,1e-06,1.0511463665903937,2.999378252896405,14.540135524011951,0.9999995362334398,0.9999129835402518,0.99999955518006,0.9999995546588101,0.00046178230099982857,0.00047448064540456556,0.7101116449705683,0.9999923400096689,0.45460059892302873,0.39,0.9976969473879868,0.06782920589755372
