target_family,target,noise,comparison,lhs,rhs,r2_full_margin,r2_ext_margin,heldout_rms_margin,lhs_r2_full,rhs_r2_full,lhs_ext_r2,rhs_ext_r2
J0,j0_carrier,0.0,full_j1_minus_j0_cluster,full_j1,toric_j0_cluster_matched13,-9.030554082301023e-13,-6.254996520738132e-13,-4.0845088302060255e-07,0.9999999999989898,0.9999999999998929,0.9999999999989905,0.999999999999616
J0,j0_carrier,0.0,full_j2_minus_j0_cluster,full_j2,toric_j0_cluster_matched13,-1.6886270159943706e-11,-7.818323766173307e-11,-3.4515959377383947e-06,0.9999999999830066,0.9999999999998929,0.9999999999214327,0.999999999999616
J0,j0_carrier,0.0,full_j2_minus_dct,full_j2,dct_matched13,1.0356104662457708,1.5010296672094268,0.9661942518265538,0.9999999999830066,-0.03561046626276418,0.9999999999214327,-0.501029667287994
J0,j0_carrier,0.0,full_j2_minus_shuffle,full_j2,coord_shuffle_full_j2,1.00567451795851,1.0087363648054832,0.7147835631786734,0.9999999999830066,-0.005674517975503358,0.9999999999214327,-0.008736364884050407
J0,j0_carrier,0.0,full_j2_minus_directional_one,full_j2,directional_j2_one,-1.2011058814209719e-11,-5.994515994700578e-11,-1.8310999268279562e-06,0.9999999999830066,0.9999999999950177,0.9999999999214327,0.9999999999813779
J0,j0_carrier,0.01,full_j1_minus_j0_cluster,full_j1,toric_j0_cluster_matched13,5.4221273978471984e-06,1.6513628021463944e-05,0.0011930478087914316,0.9999975154630408,0.999992093335643,0.99999609772675,0.9999795840987286
J0,j0_carrier,0.01,full_j2_minus_j0_cluster,full_j2,toric_j0_cluster_matched13,-1.219266308694067e-06,-7.798590429874963e-06,-0.00021186760862772214,0.9999908740693343,0.999992093335643,0.9999717855082987,0.9999795840987286
J0,j0_carrier,0.01,full_j2_minus_dct,full_j2,dct_matched13,1.0355199691541668,1.5008629579423274,0.9635104756550006,0.9999908740693343,-0.03552909508483259,0.9999717855082987,-0.5008911724340286
J0,j0_carrier,0.01,full_j2_minus_shuffle,full_j2,coord_shuffle_full_j2,1.0056647042909486,1.0087046096232755,0.71212983601206,0.9999908740693343,-0.005673830221614305,0.9999717855082987,-0.008732824114976704
J0,j0_carrier,0.01,full_j2_minus_directional_one,full_j2,directional_j2_one,-5.114265771544169e-06,-1.6526075959810704e-05,-0.0010004364999859799,0.9999908740693343,0.9999959883351058,0.9999717855082987,0.9999883115842585
