basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
dct_top33,0,0,0.00011826080841380562,0.8824421886294699,34
dct_top33,0,1,0.00011878971075252235,0.8889683611880322,34
dct_top33,0,2,0.00016665169615217876,0.8478265838592174,34
dct_top33,0,3,0.00021951991092636415,0.7730256671414761,34
dct_top33,0,4,9.794641314831112e-05,0.9069383295309743,34
dct_top33,0,5,0.00013066845472170722,0.8756386987178494,34
dct_top33,0,6,0.00010179393196214131,0.9111389419558201,34
dct_top33,0,7,0.00010488708493807571,0.9102349301219619,34
dct_top33,1,0,0.00012323104440124718,0.7880518895978064,34
dct_top33,1,1,0.00024895183536920775,0.7248796350874216,34
dct_top33,1,2,0.00037314911702715796,0.6567989238610586,34
dct_top33,1,3,0.00044066400653417946,0.45981836289730105,34
dct_top33,1,4,0.0003334690935930405,0.4398052718014427,34
dct_top33,1,5,0.0004226735735932732,0.33015830023773296,34
dct_top33,1,6,0.0002453740095383994,0.7151862989992543,34
dct_top33,1,7,0.00041691466939430187,0.5630335871765897,34
dct_top33,2,0,0.00029521763389100074,0.7137612291164928,34
dct_top33,2,1,0.0004228494260146487,0.6898097034056302,34
dct_top33,2,2,0.0012234269474703638,0.8178946428422804,34
dct_top33,2,3,0.0002099364070855444,0.8721479203862971,34
dct_top33,2,4,0.000478769425926378,0.5987659828635302,34
dct_top33,2,5,0.00023861521744784068,0.5402968579079936,34
dct_top33,2,6,0.0002629397562470572,0.7899865588883128,34
dct_top33,2,7,6.207978770424231e-05,0.8971359937532806,34
dct_top33,3,0,0.0002579249754555036,0.8725390757015741,34
dct_top33,3,1,0.0005544893625848076,0.7333617243403259,34
dct_top33,3,2,0.00047160434632364113,0.8596494577338144,34
dct_top33,3,3,0.0002128707535696871,0.756117570615765,34
dct_top33,3,4,0.00035084849771771525,0.8413877981242237,34
dct_top33,3,5,0.00014531120517501643,0.8923256751008144,34
dct_top33,3,6,0.00013156603813244125,0.8454939112424207,34
dct_top33,3,7,0.0006119758382060294,0.8108753892790619,34
dct_top33,4,0,0.00032793646549572885,0.8859578947224972,34
dct_top33,4,1,0.0007755419294544418,0.9255523333672724,34
dct_top33,4,2,0.0006262127009205236,0.8355103112889103,34
dct_top33,4,3,0.0001789785989796926,0.9005835364226027,34
dct_top33,4,4,0.0002310725403715736,0.872939218109801,34
dct_top33,4,5,0.0005289672683867789,0.91426805811498,34
dct_top33,4,6,0.00028988240565643963,0.9075614218808403,34
dct_top33,4,7,0.0005487876645320719,0.8690412803062002,34
dct_top33,5,0,0.00048803192358625255,0.8499863739453141,34
dct_top33,5,1,0.00016764599166658602,0.9453789783480827,34
dct_top33,5,2,0.000194533027914402,0.9569118431325352,34
dct_top33,5,3,0.00047685412066315663,0.9250456363583559,34
dct_top33,5,4,0.000154494290779859,0.9372474538204472,34
dct_top33,5,5,0.0012324184768808212,0.9665178340857937,34
dct_top33,5,6,0.00045056012253639425,0.8170865454039352,34
dct_top33,5,7,0.00025977049761976374,0.8712620756336966,34
dct_top55,0,0,9.08823135681527e-05,0.9096579330154906,56
dct_top55,0,1,7.16818680192109e-05,0.932999624051133,56
dct_top55,0,2,0.00013217749202399913,0.879305755881141,56
dct_top55,0,3,0.0001704186808138354,0.8237942689520994,56
dct_top55,0,4,7.191644091286161e-05,0.9316701458438932,56
dct_top55,0,5,0.0001001595978387304,0.9046749427805688,56
dct_top55,0,6,3.356404303545887e-05,0.9707002537491084,56
dct_top55,0,7,7.463935028107667e-05,0.9361217208239906,56
dct_top55,1,0,5.8182329390896394e-05,0.8999307777263819,56
dct_top55,1,1,0.00019700250151728576,0.7822896142711859,56
dct_top55,1,2,0.00027332340947905517,0.7486128628294487,56
dct_top55,1,3,0.0003866884210987047,0.5259835583109861,56
dct_top55,1,4,0.0002854519310981398,0.5204693027701532,56
dct_top55,1,5,0.00038654605559473046,0.3874122180982861,56
dct_top55,1,6,0.00019190503536916086,0.7772494997860961,56
dct_top55,1,7,0.0003496272122784138,0.6335572720511342,56
dct_top55,2,0,0.0002443551814152343,0.763076731340725,56
dct_top55,2,1,0.00028099202737216447,0.7938722510925071,56
dct_top55,2,2,0.0003820249240742955,0.9431361346212415,56
dct_top55,2,3,0.00014357413363059757,0.9125628002391799,56
dct_top55,2,4,0.00044114084472360597,0.6303007174926702,56
dct_top55,2,5,0.00017403804263454125,0.6647077420360678,56
dct_top55,2,6,0.00021678545463025132,0.8268506065431854,56
dct_top55,2,7,4.0146527559191026e-05,0.9334786278376639,56
dct_top55,3,0,0.00015303581199365866,0.9243730235390213,56
dct_top55,3,1,0.00035362577386369187,0.8299513517585086,56
dct_top55,3,2,0.00025024251941574134,0.925527248483089,56
dct_top55,3,3,0.0001423770607121647,0.8368810046810767,56
dct_top55,3,4,0.00010269325081073546,0.9535742557405009,56
dct_top55,3,5,0.0001084934395266245,0.9196073156027447,56
dct_top55,3,6,8.932145020125221e-05,0.8951043285284773,56
dct_top55,3,7,0.0001880084931884234,0.9418979788634727,56
dct_top55,4,0,0.0002452074601810525,0.9147274611668312,56
dct_top55,4,1,0.0002687332181801832,0.974203121352456,56
dct_top55,4,2,0.00020024624241974238,0.947400552507527,56
dct_top55,4,3,0.00011694925898869142,0.9350387039962692,56
dct_top55,4,4,0.00010235303467254445,0.9437187274895775,56
dct_top55,4,5,0.0002670441387152669,0.9567190373595436,56
dct_top55,4,6,0.00021841763961356908,0.9303503225858066,56
dct_top55,4,7,0.00015959164341032442,0.9619162043070593,56
dct_top55,5,0,0.00012128165108926762,0.9627198562747611,56
dct_top55,5,1,0.00010526093599101269,0.9657047579443433,56
dct_top55,5,2,5.7318653238028214e-05,0.987304186087934,56
dct_top55,5,3,0.0003825276826381449,0.9398723471497302,56
dct_top55,5,4,0.00011373748233777763,0.9538020688226109,56
dct_top55,5,5,0.00045855207033059214,0.9875421240535358,56
dct_top55,5,6,0.00014168421182609412,0.9424805983695592,56
dct_top55,5,7,9.381692480073045e-05,0.9535058973981165,56
table_informed_toric_PJ_R0_top55,0,0,0.0001465591007784669,0.8543121144270969,55
table_informed_toric_PJ_R0_top55,0,1,0.00014946110800701415,0.8603000911817699,55
table_informed_toric_PJ_R0_top55,0,2,0.00018064194156001712,0.8350517757683679,55
table_informed_toric_PJ_R0_top55,0,3,0.0002431494475146688,0.7485937225390313,55
table_informed_toric_PJ_R0_top55,0,4,0.00013737348148923207,0.8694775515038433,55
table_informed_toric_PJ_R0_top55,0,5,0.00015413608412349458,0.8533038135565518,55
table_informed_toric_PJ_R0_top55,0,6,0.0003208300836742363,0.7199312361929547,55
table_informed_toric_PJ_R0_top55,0,7,0.0001259052262334956,0.8922470632344063,55
table_informed_toric_PJ_R0_top55,1,0,0.00016693941455801027,0.7128767865343139,55
table_informed_toric_PJ_R0_top55,1,1,0.0004077286098445914,0.5494130671525996,55
table_informed_toric_PJ_R0_top55,1,2,0.00036102075407990646,0.667953893886078,55
table_informed_toric_PJ_R0_top55,1,3,0.0004002844829289034,0.5093170213833402,55
table_informed_toric_PJ_R0_top55,1,4,0.00039403239799250787,0.3380649771273273,55
table_informed_toric_PJ_R0_top55,1,5,0.00039317129255134935,0.3769127209411257,55
table_informed_toric_PJ_R0_top55,1,6,0.00033056126804782514,0.6163066400662659,55
table_informed_toric_PJ_R0_top55,1,7,0.0005226963694126517,0.4521642573289887,55
table_informed_toric_PJ_R0_top55,2,0,0.00032594636602034926,0.6839670925007892,55
table_informed_toric_PJ_R0_top55,2,1,0.0005468586197106829,0.5988400905683907,55
table_informed_toric_PJ_R0_top55,2,2,0.002018795279636835,0.699505200382641,55
table_informed_toric_PJ_R0_top55,2,3,0.00029360171714720837,0.8211954246691044,55
table_informed_toric_PJ_R0_top55,2,4,0.0005051870508605112,0.5766266205702564,55
table_informed_toric_PJ_R0_top55,2,5,0.0002476548900165104,0.5228815147972435,55
table_informed_toric_PJ_R0_top55,2,6,0.00043632668575572034,0.651500138159719,55
table_informed_toric_PJ_R0_top55,2,7,7.894309269676757e-05,0.8691940955245772,55
table_informed_toric_PJ_R0_top55,3,0,0.0005539271155999844,0.7262612431244936,55
table_informed_toric_PJ_R0_top55,3,1,0.0008033905087234014,0.6136721921431042,55
table_informed_toric_PJ_R0_top55,3,2,0.0011647018366279485,0.6533820444543252,55
table_informed_toric_PJ_R0_top55,3,3,0.000386992207065482,0.556629560288565,55
table_informed_toric_PJ_R0_top55,3,4,0.0005980389034217682,0.7296375276048053,55
table_informed_toric_PJ_R0_top55,3,5,0.00021403039855978913,0.8414053572463855,55
table_informed_toric_PJ_R0_top55,3,6,0.0002032043887114414,0.7613645910156963,55
table_informed_toric_PJ_R0_top55,3,7,0.0010568128985225626,0.6734032365986033,55
table_informed_toric_PJ_R0_top55,4,0,0.0003762466614472638,0.8691577000739594,55
table_informed_toric_PJ_R0_top55,4,1,0.0014216994193181976,0.8635248457864829,55
table_informed_toric_PJ_R0_top55,4,2,0.0010248004806562951,0.7308117324890809,55
table_informed_toric_PJ_R0_top55,4,3,0.00022551753291378415,0.8747327572972479,55
table_informed_toric_PJ_R0_top55,4,4,0.00031424868294783337,0.827202819949484,55
table_informed_toric_PJ_R0_top55,4,5,0.0007515171907962919,0.8781984595692773,55
table_informed_toric_PJ_R0_top55,4,6,0.00038862705795410777,0.8760734285526586,55
table_informed_toric_PJ_R0_top55,4,7,0.0008986810453383883,0.7855452541723029,55
table_informed_toric_PJ_R0_top55,5,0,0.0008419069090511042,0.7412105599585278,55
table_informed_toric_PJ_R0_top55,5,1,0.00021574252060703816,0.9297085676062427,55
table_informed_toric_PJ_R0_top55,5,2,0.000515183201435958,0.8858893277046872,55
table_informed_toric_PJ_R0_top55,5,3,0.000691052084955344,0.891376907472195,55
table_informed_toric_PJ_R0_top55,5,4,0.00019622422453535775,0.9202975744310983,55
table_informed_toric_PJ_R0_top55,5,5,0.0029094816424471994,0.9209556259467091,55
table_informed_toric_PJ_R0_top55,5,6,0.0006157546620796507,0.7500226789033606,55
