dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,raw,interior_only,-0.0378909632563591,0.09433010220527649,1.5248364210128784,0.4431034326553345,0.6686519384384155,0.1816444993019104,1.4394079446792603,0.14043955504894257,1.0047370195388794,1.3203887939453125,0.5678784847259521,7.886686714193348e-16,0.5912669897079468,0.3366551101207733,0.6168636083602905,0.65950608253479,0.8961367011070251,0.08529458940029144,0.018568646162748337,0.6928181052207947,0.30718186497688293,0.0
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,raw,reflect_padding,-0.0378909632563591,0.09433010220527649,1.5248364210128784,0.6839879751205444,1.4363048076629639,0.1816444993019104,2.7895286083221436,0.07890941202640533,1.0047370195388794,1.3203887939453125,0.5678784847259521,7.886686714193348e-16,0.5912669897079468,0.3366551101207733,0.6168636083602905,0.65950608253479,0.8961367011070251,0.08529458940029144,0.018568646162748337,0.6928181052207947,0.30718186497688293,0.0
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,centered,interior_only,-3.708733542495679e-09,0.09433009475469589,1.4149515628814697,0.4431033432483673,0.6686519384384155,0.1816444993019104,1.4394080638885498,0.14043955504894257,0.681698739528656,1.3203887939453125,0.6595059037208557,1.261870112498952e-16,0.5912669897079468,0.3366551697254181,0.6168636083602905,0.6595061421394348,0.8961368203163147,0.08529460430145264,0.018568646162748337,0.6928181052207947,0.30718186497688293,0.0
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,centered,reflect_padding,-3.708733542495679e-09,0.09433009475469589,1.4149515628814697,0.6839880347251892,1.4363045692443848,0.1816444993019104,2.7895283699035645,0.07890941202640533,0.681698739528656,1.3203887939453125,0.6595059037208557,1.261870112498952e-16,0.5912669897079468,0.3366551697254181,0.6168636083602905,0.6595061421394348,0.8961368203163147,0.08529460430145264,0.018568646162748337,0.6928181052207947,0.30718186497688293,0.0
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,normalized,interior_only,-1.5894572324981482e-09,0.06666666269302368,0.9999999403953552,0.22132064402103424,0.3339773118495941,0.09072753041982651,0.7189534306526184,0.14043955504894257,0.34049391746520996,0.6595059633255005,0.6595059633255005,3.947459672522534e-16,0.5912668704986572,0.3366550803184509,0.6168636679649353,0.6595060229301453,0.8961365818977356,0.08529458940029144,0.01856864243745804,0.6928180456161499,0.30718183517456055,-1.1920928955078125e-07
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,normalized,reflect_padding,-1.5894572324981482e-09,0.06666666269302368,0.9999999403953552,0.34163734316825867,0.7174034118652344,0.09072753041982651,1.3933095932006836,0.07890939712524414,0.34049391746520996,0.6595059633255005,0.6595059633255005,3.947459672522534e-16,0.5912668704986572,0.3366550803184509,0.6168636679649353,0.6595060229301453,0.8961365818977356,0.08529458940029144,0.01856864243745804,0.6928180456161499,0.30718183517456055,-1.1920928955078125e-07
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,raw,interior_only,-0.06047028303146362,0.07069707661867142,1.3954622745513916,0.27126193046569824,0.34904050827026367,0.06335373222827911,0.7031716108322144,0.09266900271177292,1.4671550989151,0.4801599681377411,0.24657540023326874,1.160560837427764e-14,0.5595337748527527,0.4549250304698944,0.6136677861213684,0.42697304487228394,0.9210366606712341,0.07015164941549301,0.00881174299865961,0.787869393825531,0.21213063597679138,0.19669866561889648
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,raw,reflect_padding,-0.06047028303146362,0.07069707661867142,1.3954622745513916,0.3507416844367981,0.6323872804641724,0.06335373222827911,1.218977928161621,0.06053968518972397,1.4671550989151,0.4801599681377411,0.24657540023326874,1.160560837427764e-14,0.5595337748527527,0.4549250304698944,0.6136677861213684,0.42697304487228394,0.9210366606712341,0.07015164941549301,0.00881174299865961,0.787869393825531,0.21213063597679138,0.19669866561889648
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,centered,interior_only,-6.490283421811682e-09,0.07069707661867142,1.0604562759399414,0.27126193046569824,0.34904050827026367,0.06335373222827911,0.7031716704368591,0.09266900271177292,0.6444073915481567,0.4801599681377411,0.4269731044769287,8.775507502504847e-17,0.5595337748527527,0.4549250304698944,0.6136677265167236,0.42697304487228394,0.9210365414619446,0.07015164941549301,0.00881174299865961,0.787869393825531,0.21213063597679138,0.1966986060142517
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,centered,reflect_padding,-6.490283421811682e-09,0.07069707661867142,1.0604562759399414,0.3507417142391205,0.6323872804641724,0.06335373967885971,1.2189780473709106,0.06053968518972397,0.6444073915481567,0.4801599681377411,0.4269731044769287,8.775507502504847e-17,0.5595337748527527,0.4549250304698944,0.6136677265167236,0.42697304487228394,0.9210365414619446,0.07015164941549301,0.00881174299865961,0.787869393825531,0.21213063597679138,0.1966986060142517
