dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,1,0.8377581238746643,-0.8377581238746643,31.023170471191406,0.068868488073349,0.33769696950912476
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,2,-0.8377581238746643,0.8377581238746643,31.023170471191406,0.068868488073349,-0.33769696950912476
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,3,-0.41887906193733215,0.8377581238746643,30.568758010864258,0.06785973906517029,2.825261116027832
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,4,0.41887906193733215,-0.8377581238746643,30.568758010864258,0.06785973906517029,-2.825261116027832
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,5,0.41887906193733215,-0.41887906193733215,28.469079971313477,0.06319865584373474,0.9793217182159424
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,6,-0.41887906193733215,0.41887906193733215,28.469079971313477,0.06319865584373474,-0.9793217182159424
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,7,-0.8377581238746643,0.0,26.50904083251953,0.05884755402803421,-1.24802827835083
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,0,8,0.8377581238746643,0.0,26.50904083251953,0.05884755402803421,1.24802827835083
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,1,0.41887906193733215,0.0,38.552974700927734,0.15236665308475494,-2.936458110809326
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,2,-0.41887906193733215,0.0,38.552974700927734,0.15236665308475494,2.936458110809326
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,3,-0.8377581238746643,0.8377581238746643,12.839423179626465,0.050743162631988525,-0.5521051287651062
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,4,0.8377581238746643,-0.8377581238746643,12.839423179626465,0.050743162631988525,0.5521051287651062
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,694,0,1,5,0.41887906193733215,-0.41887906193733215,12.323812484741211,0.04870539903640747,0.5570496320724487
