dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,relative_2d_table,594,0,0,1,-0.41887906193733215,0.0,98.7813720703125,0.2624681890010834,-2.316122531890869
cifar10,classification,relative_2d_table,594,0,0,2,0.41887906193733215,0.0,98.7813720703125,0.2624681890010834,2.316122531890869
cifar10,classification,relative_2d_table,594,0,0,3,0.8377581238746643,0.0,12.092667579650879,0.03213096410036087,1.6322171688079834
cifar10,classification,relative_2d_table,594,0,0,4,-0.8377581238746643,0.0,12.092667579650879,0.03213096410036087,-1.6322171688079834
cifar10,classification,relative_2d_table,594,0,0,5,-1.2566372156143188,0.0,10.629414558410645,0.028243009001016617,-2.2244913578033447
cifar10,classification,relative_2d_table,594,0,0,6,1.2566372156143188,0.0,10.629414558410645,0.028243009001016617,2.2244913578033447
cifar10,classification,relative_2d_table,594,0,0,7,0.41887906193733215,0.41887906193733215,2.5958471298217773,0.006897325627505779,1.8712780475616455
cifar10,classification,relative_2d_table,594,0,0,8,-0.41887906193733215,-0.41887906193733215,2.5958471298217773,0.006897325627505779,-1.8712780475616455
cifar10,classification,relative_2d_table,594,0,1,1,0.41887906193733215,0.0,52.09743118286133,0.18898385763168335,2.826483964920044
cifar10,classification,relative_2d_table,594,0,1,2,-0.41887906193733215,0.0,52.09743118286133,0.18898385763168335,-2.826483964920044
cifar10,classification,relative_2d_table,594,0,1,3,-0.8377581238746643,0.0,10.048632621765137,0.03645149618387222,-2.678569793701172
cifar10,classification,relative_2d_table,594,0,1,4,0.8377581238746643,0.0,10.048632621765137,0.03645149618387222,2.678569793701172
cifar10,classification,relative_2d_table,594,0,1,5,-1.2566372156143188,0.0,5.6733717918396,0.020580202341079712,-3.0284111499786377
cifar10,classification,relative_2d_table,594,0,1,6,1.2566372156143188,0.0,5.6733717918396,0.020580202341079712,3.0284111499786377
cifar10,classification,relative_2d_table,594,0,1,7,-0.8377581238746643,-0.41887906193733215,3.1799046993255615,0.011535130441188812,-0.6603442430496216
cifar10,classification,relative_2d_table,594,0,1,8,0.8377581238746643,0.41887906193733215,3.1799046993255615,0.011535130441188812,0.6603442430496216
cifar10,classification,relative_2d_table,594,0,2,1,0.41887906193733215,0.0,61.31052017211914,0.25953859090805054,-2.238524913787842
cifar10,classification,relative_2d_table,594,0,2,2,-0.41887906193733215,0.0,61.31052017211914,0.25953859090805054,2.238524913787842
cifar10,classification,relative_2d_table,594,0,2,3,-1.2566372156143188,0.0,3.8516383171081543,0.016304686665534973,2.256430149078369
cifar10,classification,relative_2d_table,594,0,2,4,1.2566372156143188,0.0,3.8516383171081543,0.016304686665534973,-2.256430149078369
cifar10,classification,relative_2d_table,594,0,2,5,1.6755162477493286,-1.2566372156143188,2.646315813064575,0.01120233628898859,2.803985595703125
cifar10,classification,relative_2d_table,594,0,2,6,-1.6755162477493286,1.2566372156143188,2.646315813064575,0.01120233628898859,-2.803985595703125
cifar10,classification,relative_2d_table,594,0,2,7,-0.41887906193733215,0.41887906193733215,2.5372841358184814,0.010740785859525204,-2.915947198867798
cifar10,classification,relative_2d_table,594,0,2,8,0.41887906193733215,-0.41887906193733215,2.5372841358184814,0.010740785859525204,2.915947198867798
cifar10,classification,relative_2d_table,594,0,3,1,0.41887906193733215,0.0,49.621761322021484,0.2025839388370514,-2.621093273162842
cifar10,classification,relative_2d_table,594,0,3,2,-0.41887906193733215,0.0,49.621761322021484,0.2025839388370514,2.621093273162842
cifar10,classification,relative_2d_table,594,0,3,3,-0.41887906193733215,-0.41887906193733215,8.524441719055176,0.03480156511068344,-2.2390060424804688
cifar10,classification,relative_2d_table,594,0,3,4,0.41887906193733215,0.41887906193733215,8.524441719055176,0.03480156511068344,2.2390060424804688
cifar10,classification,relative_2d_table,594,0,3,5,1.2566372156143188,0.0,5.426016807556152,0.02215205319225788,1.9175598621368408
cifar10,classification,relative_2d_table,594,0,3,6,-1.2566372156143188,0.0,5.426016807556152,0.02215205319225788,-1.9175598621368408
cifar10,classification,relative_2d_table,594,0,3,7,-0.8377581238746643,-0.41887906193733215,2.9892208576202393,0.012203681282699108,-2.4897305965423584
cifar10,classification,relative_2d_table,594,0,3,8,0.8377581238746643,0.41887906193733215,2.9892208576202393,0.012203681282699108,2.4897305965423584
cifar10,classification,relative_2d_table,594,0,4,1,0.0,0.41887906193733215,5.229593276977539,0.03364197909832001,-1.019417643547058
cifar10,classification,relative_2d_table,594,0,4,2,0.0,-0.41887906193733215,5.229593276977539,0.03364197909832001,1.019417643547058
cifar10,classification,relative_2d_table,594,0,4,3,-0.41887906193733215,0.0,3.732219696044922,0.024009373039007187,3.0627408027648926
cifar10,classification,relative_2d_table,594,0,4,4,0.41887906193733215,0.0,3.732219696044922,0.024009373039007187,-3.0627408027648926
cifar10,classification,relative_2d_table,594,0,4,5,0.8377581238746643,0.41887906193733215,3.1005139350891113,0.01994561031460762,1.5684975385665894
cifar10,classification,relative_2d_table,594,0,4,6,-0.8377581238746643,-0.41887906193733215,3.1005139350891113,0.01994561031460762,-1.5684975385665894
cifar10,classification,relative_2d_table,594,0,4,7,0.0,-0.8377581238746643,3.0663259029388428,0.019725678488612175,1.6202526092529297
cifar10,classification,relative_2d_table,594,0,4,8,0.0,0.8377581238746643,3.0663259029388428,0.019725678488612175,-1.6202526092529297
cifar10,classification,relative_2d_table,594,0,5,1,0.41887906193733215,0.0,14.6651611328125,0.06878265738487244,2.2301185131073
cifar10,classification,relative_2d_table,594,0,5,2,-0.41887906193733215,0.0,14.6651611328125,0.06878265738487244,-2.2301185131073
cifar10,classification,relative_2d_table,594,0,5,3,-0.41887906193733215,-0.41887906193733215,5.463782787322998,0.025626277551054955,-1.0763545036315918
cifar10,classification,relative_2d_table,594,0,5,4,0.41887906193733215,0.41887906193733215,5.463782787322998,0.025626277551054955,1.0763545036315918
cifar10,classification,relative_2d_table,594,0,5,5,0.8377581238746643,0.0,4.322274684906006,0.02027236670255661,1.1239068508148193
cifar10,classification,relative_2d_table,594,0,5,6,-0.8377581238746643,0.0,4.322274684906006,0.02027236670255661,-1.1239068508148193
