basis,n,num_features,score_mean,score_std,mse_mean,mse_std,onset_r2_mean,onset_r2_std,middle_r2_mean,middle_r2_std,decay_r2_mean,decay_r2_std
axis_additive,3,5,-0.025827030340830486,0.02025320328267295,0.6156340638796488,0.03291066730351483,0.0013432502746582031,0.038847096465933366,0.0463824470837911,0.04105947763457498,-7.430594444274902,5.448032510227084
toric_j1,3,41,-0.027587175369262695,0.020264647365163792,0.6163467566172282,0.025582096392193332,-0.011521736780802408,0.030787499643682055,0.05360416571299235,0.03420781689430981,-8.755793253580729,7.3423664409363
toric_j2_coord_shuffle,3,73,-0.02994646628697713,0.05983809855859622,0.6169302066167196,0.028384443597286,-0.0086860458056132,0.038578060097906756,0.03878237803777059,0.08234542814706496,-8.761278788248697,7.866277626883029
toric_j0,3,9,-0.03206980228424072,0.019455936839734494,0.6191422939300537,0.028058383866875855,-0.0029807090759277344,0.049892421351272684,0.04230095942815145,0.04234785741533528,-7.447482426961263,5.284654539090041
toric_j2,3,73,-0.0420760711034139,0.026462825875325422,0.6249311566352844,0.025574656288320674,0.0060193538665771484,0.02870635230164688,0.030819753805796306,0.05106313539418248,-9.34757169087728,8.033225445237777
no_pos_constant,3,1,-0.042084336280822754,0.023696570488396188,0.624801774819692,0.020662040371081516,-0.008008599281311035,0.04645760837244418,0.04230044285456339,0.05027823445256192,-9.389020284016928,7.74794043073431
dct_lowfreq33,3,33,-0.06506808598836263,0.023577785956194818,0.6386144359906515,0.021830361888754462,-0.022460659344991047,0.045151585498359105,0.021071453889211018,0.05354250963989725,-9.561942418416342,7.629740299410707
