dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,1,-1.6755162477493286,-2.094395160675049,0.10863268375396729,0.01874857023358345,2.8058881759643555
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,2,1.6755162477493286,2.094395160675049,0.10863268375396729,0.01874857023358345,-2.8058881759643555
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,3,2.9321534633636475,0.8377581238746643,0.10101128369569778,0.01743321865797043,-2.8512117862701416
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,4,-2.9321534633636475,-0.8377581238746643,0.10101128369569778,0.01743321865797043,2.8512117862701416
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,5,-2.9321534633636475,1.2566372156143188,0.09807243198156357,0.016926011070609093,2.6783690452575684
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,6,2.9321534633636475,-1.2566372156143188,0.09807243198156357,0.016926011070609093,-2.6783690452575684
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,7,1.2566372156143188,-2.094395160675049,0.08964473009109497,0.015471500344574451,-1.1193281412124634
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,0,8,-1.2566372156143188,2.094395160675049,0.08964473009109497,0.015471500344574451,1.1193281412124634
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,1,-0.41887906193733215,0.41887906193733215,0.15737687051296234,0.021488802507519722,2.649071216583252
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,2,0.41887906193733215,-0.41887906193733215,0.15737687051296234,0.021488802507519722,-2.649071216583252
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,3,-2.094395160675049,-1.2566372156143188,0.13064466416835785,0.017838692292571068,1.6858793497085571
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,4,2.094395160675049,1.2566372156143188,0.13064466416835785,0.017838692292571068,-1.6858793497085571
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,5,1.6755162477493286,2.094395160675049,0.11980466544628143,0.01635855995118618,2.8578524589538574
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,6,-1.6755162477493286,-2.094395160675049,0.11980466544628143,0.01635855995118618,-2.8578524589538574
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,7,0.0,1.6755162477493286,0.10886580497026443,0.014864928089082241,2.285059928894043
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,1,8,0.0,-1.6755162477493286,0.10886580497026443,0.014864928089082241,-2.285059928894043
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,1,1.6755162477493286,2.094395160675049,0.1337338536977768,0.020248349756002426,0.5710439085960388
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,2,-1.6755162477493286,-2.094395160675049,0.1337338536977768,0.020248349756002426,-0.5710439085960388
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,3,-1.6755162477493286,-1.6755162477493286,0.1309760957956314,0.01983080431818962,-0.7979167103767395
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,4,1.6755162477493286,1.6755162477493286,0.1309760957956314,0.01983080431818962,0.7979167103767395
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,5,0.41887906193733215,2.094395160675049,0.11673994362354279,0.017675338312983513,1.3934201002120972
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,6,-0.41887906193733215,-2.094395160675049,0.11673994362354279,0.017675338312983513,-1.3934201002120972
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,7,1.2566372156143188,-2.5132744312286377,0.11082718521356583,0.016780100762844086,1.2383393049240112
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,2,8,-1.2566372156143188,2.5132744312286377,0.11082718521356583,0.016780100762844086,-1.2383393049240112
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,1,-2.5132744312286377,-2.5132744312286377,0.180789977312088,0.021272849291563034,0.7629544734954834
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,2,2.5132744312286377,2.5132744312286377,0.180789977312088,0.021272849291563034,-0.7629544734954834
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,3,1.2566372156143188,1.2566372156143188,0.15209440886974335,0.01789635419845581,-0.8996631503105164
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,4,-1.2566372156143188,-1.2566372156143188,0.15209440886974335,0.01789635419845581,0.8996631503105164
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,5,2.5132744312286377,2.094395160675049,0.14521566033363342,0.01708695851266384,-1.4858864545822144
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,6,-2.5132744312286377,-2.094395160675049,0.14521566033363342,0.01708695851266384,1.4858864545822144
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,7,-1.2566372156143188,0.0,0.14385521411895752,0.016926879063248634,-2.3719093799591064
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,3,8,1.2566372156143188,0.0,0.14385521411895752,0.016926879063248634,2.3719093799591064
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,1,-2.5132744312286377,1.2566372156143188,0.05511218309402466,0.01820411905646324,-1.6921778917312622
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,2,2.5132744312286377,-1.2566372156143188,0.05511218309402466,0.01820411905646324,1.6921778917312622
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,3,-2.094395160675049,-2.5132744312286377,0.05306614935398102,0.017528293654322624,-1.4837156534194946
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,4,2.094395160675049,2.5132744312286377,0.05306614935398102,0.017528293654322624,1.4837156534194946
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,5,1.6755162477493286,2.5132744312286377,0.04696931689977646,0.015514446422457695,0.735357940196991
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,6,-1.6755162477493286,-2.5132744312286377,0.04696931689977646,0.015514446422457695,-0.735357940196991
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,7,0.41887906193733215,-2.5132744312286377,0.045914631336927414,0.015166073106229305,0.293959379196167
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,4,8,-0.41887906193733215,2.5132744312286377,0.045914631336927414,0.015166073106229305,-0.293959379196167
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,5,1,-1.2566372156143188,1.6755162477493286,0.2328736037015915,0.0280099306255579,1.8183159828186035
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,5,2,1.2566372156143188,-1.6755162477493286,0.2328736037015915,0.0280099306255579,-1.8183159828186035
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,5,3,-1.6755162477493286,-1.2566372156143188,0.15705057978630066,0.01888997107744217,1.8737317323684692
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,5,4,1.6755162477493286,1.2566372156143188,0.15705057978630066,0.01888997107744217,-1.8737317323684692
cifar10,classification,toric_PJ_R2_coord_shuffle,511,0,5,5,-1.6755162477493286,1.6755162477493286,0.14549873769283295,0.01750052161514759,1.2260924577713013
