source,table_id,comparison,r2_margin,lhs_r2,rhs_r2
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,J2_minus_shuffle,0.883061408996582,0.9590303897857666,0.07596898078918457
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,DCT73_minus_J2,-0.011562108993530273,0.9474682807922363,0.9590303897857666
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J1_minus_J0,0.08449900150299072,0.9534026384353638,0.868903636932373
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_J1,0.017312824726104736,0.9707154631614685,0.9534026384353638
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_J0,0.10181182622909546,0.9707154631614685,0.868903636932373
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_shuffle,0.8880836367607117,0.9707154631614685,0.08263182640075684
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,DCT73_minus_J2,-0.019918739795684814,0.9507967233657837,0.9707154631614685
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J1_minus_J0,0.05132204294204712,0.9565532803535461,0.905231237411499
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_J1,0.021675050258636475,0.9782283306121826,0.9565532803535461
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_J0,0.0729970932006836,0.9782283306121826,0.905231237411499
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_shuffle,0.894477903842926,0.9782283306121826,0.08375042676925659
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,DCT73_minus_J2,-0.010301589965820312,0.9679267406463623,0.9782283306121826
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H3,J1_minus_J0,0.0532647967338562,0.9577364921569824,0.9044716954231262
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H3,J2_minus_J1,0.018093466758728027,0.9758299589157104,0.9577364921569824
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H3,J2_minus_J0,0.07135826349258423,0.9758299589157104,0.9044716954231262
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H3,J2_minus_shuffle,0.8950750231742859,0.9758299589157104,0.08075493574142456
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H3,DCT73_minus_J2,-0.015286922454833984,0.9605430364608765,0.9758299589157104
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,J1_minus_J0,0.05399960279464722,0.9629360437393188,0.9089364409446716
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,J2_minus_J1,0.011487901210784912,0.9744239449501038,0.9629360437393188
