source,table_id,comparison,r2_margin,lhs_r2,rhs_r2
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,J2_minus_shuffle,0.8723406791687012,0.905248761177063,0.032908082008361816
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,DCT73_minus_J2,0.04221951961517334,0.9474682807922363,0.905248761177063
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J1_minus_J0,0.0704425573348999,0.858002245426178,0.7875596880912781
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_J1,0.059655964374542236,0.9176582098007202,0.858002245426178
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_J0,0.13009852170944214,0.9176582098007202,0.7875596880912781
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,J2_minus_shuffle,0.891526460647583,0.9176582098007202,0.026131749153137207
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,DCT73_minus_J2,0.03313851356506348,0.9507967233657837,0.9176582098007202
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J1_minus_J0,0.07685375213623047,0.8969923257827759,0.8201385736465454
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_J1,0.043064236640930176,0.940056562423706,0.8969923257827759
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_J0,0.11991798877716064,0.940056562423706,0.8201385736465454
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,J2_minus_shuffle,0.9120950698852539,0.940056562423706,0.02796149253845215
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,DCT73_minus_J2,0.02787017822265625,0.9679267406463623,0.940056562423706
