basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,source,table_id,target_std,target_norm
constant,1,0.0,0.00021410830959212035,1.0,1.0838988595551768e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
fft_top6_J0,13,0.8212018013000488,3.828218541457318e-05,1.0000001192092896,0.018752386793494225,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
fft_top6_J1,37,0.8826207518577576,2.5131876100203954e-05,92.14763641357422,0.06688636541366577,1.3819936513900757,1.021438717842102,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
fft_top6_J2,73,0.9208391904830933,1.6948984921327792e-05,106430.3046875,0.9772823452949524,10.986708641052246,8.650303840637207,9.858027458190918,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
fft_top6_J2_coord_shuffle,73,0.03414046764373779,0.00020679854787886143,106426.84375,1.0532138347625732,89.8507080078125,60.26974868774414,50.185279846191406,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
dct_top13,13,0.8759742975234985,2.6554936994216405e-05,1.000000238418579,0.02223672904074192,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
dct_top73,73,0.972667932510376,5.85202224101522e-06,1.000009298324585,0.023791899904608727,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,mean,0.01463244017213583,0.6034883856773376
constant,1,0.0,0.0001952334278030321,1.0,9.032490866367482e-10,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H0,0.013972596265375614,0.5762743353843689
fft_top6_J0,13,0.735901951789856,5.1560775318648666e-05,1.0000001192092896,0.01695125550031662,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H0,0.013972596265375614,0.5762743353843689
fft_top6_J1,37,0.8291594982147217,3.3353775506839156e-05,92.14746856689453,0.083980992436409,1.7517763376235962,1.4540818929672241,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H0,0.013972596265375614,0.5762743353843689
