comparison,n_table_mask,mean,std,min,max,positive
nested_J1_minus_J0,45,0.07344867520862156,0.027434869032462877,0.02400892972946167,0.1523696780204773,45
nested_J2_minus_J1,45,0.04415657785203722,0.022747880030168983,0.01230919361114502,0.09564328193664551,45
matched_J1top6_minus_J0top18,45,-0.00463614993625217,0.026124858856908992,-0.05840170383453369,0.06300610303878784,16
matched_J2top6_minus_J0top36,45,0.013086626264784072,0.0248762904684454,-0.03150230646133423,0.06421911716461182,32
J2_minus_shuffled_J2,45,0.959006588988834,0.032165827259200634,0.8686065077781677,1.025918960571289,45
