basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
v12_freqsrc_random_J0_atoms108,1,5,0.00012238400194851482,0.8060491286645074,107
v12_freqsrc_random_J0_atoms108,1,6,0.00020059412380922005,0.7671637884200406,107
v12_freqsrc_random_J0_atoms108,1,7,0.00031003022254063526,0.6750587010832665,107
v12_freqsrc_random_J0_atoms108,2,0,0.00024073383387182275,0.766587937822892,107
v12_freqsrc_random_J0_atoms108,2,1,0.00045911067308005815,0.6632094852426016,107
v12_freqsrc_random_J0_atoms108,2,2,0.002997444656175985,0.5538346357319808,107
v12_freqsrc_random_J0_atoms108,2,3,0.00013595694751727,0.917201695888169,107
v12_freqsrc_random_J0_atoms108,2,4,0.00037324131148714875,0.6872041056516801,107
v12_freqsrc_random_J0_atoms108,2,5,9.151522742494465e-05,0.823691724079971,107
v12_freqsrc_random_J0_atoms108,2,6,0.0003042091303174119,0.7570241671041772,107
v12_freqsrc_random_J0_atoms108,2,7,0.0001661155942734127,0.7247523524335417,107
v12_freqsrc_random_J0_atoms108,3,0,0.00024071714565427536,0.8810428116727069,107
v12_freqsrc_random_J0_atoms108,3,1,0.00045262192316751113,0.7823468992145146,107
v12_freqsrc_random_J0_atoms108,3,2,0.00042165247940103667,0.8745152486546315,107
v12_freqsrc_random_J0_atoms108,3,3,0.00010854167757007142,0.8756456320498558,107
v12_freqsrc_random_J0_atoms108,3,4,0.0011259821764137818,0.4909640102903854,107
v12_freqsrc_random_J0_atoms108,3,5,0.00014044235052295946,0.8959334535722756,107
v12_freqsrc_random_J0_atoms108,3,6,0.00010232092797244414,0.8798382424258002,107
v12_freqsrc_random_J0_atoms108,3,7,0.0016411678943503976,0.4928145528480399,107
v12_freqsrc_random_J0_atoms108,4,0,0.0006354832677245031,0.7790064315952898,107
v12_freqsrc_random_J0_atoms108,4,1,0.0005739928855522864,0.9448999088634521,107
v12_freqsrc_random_J0_atoms108,4,2,0.0015763885056279126,0.5859239932417397,107
v12_freqsrc_random_J0_atoms108,4,3,0.0003986570053230179,0.778559727947882,107
v12_freqsrc_random_J0_atoms108,4,4,0.0006762979411744242,0.6281213464041473,107
v12_freqsrc_random_J0_atoms108,4,5,0.0003687404438935728,0.9402366910093479,107
v12_freqsrc_random_J0_atoms108,4,6,0.00012379176802231482,0.960524906667148,107
v12_freqsrc_random_J0_atoms108,4,7,0.0013751680628003968,0.6718398380515748,107
v12_freqsrc_random_J0_atoms108,5,0,0.0009386407337734926,0.7114760464822198,107
v12_freqsrc_random_J0_atoms108,5,1,0.00019077234348381493,0.9378441428844891,107
v12_freqsrc_random_J0_atoms108,5,2,0.00015746182633978844,0.9651229410928014,107
v12_freqsrc_random_J0_atoms108,5,3,0.00035050022838043263,0.9449065858171244,107
