dataset,task,basis,seed,metric,score_mode,score,loss,train_score,train_loss,final_score,final_loss,final_train_score,final_train_loss,best_score,best_loss,best_train_score,best_train_loss,best_step,num_features,param_count,wall_sec,coeff_norm,order0_coeff_share,teacher_bias,teacher_basis,teacher_seed,teacher_init,teacher_init_r2_mean
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,masked_patch_r2,best,0.8683723211288452,0.13101209700107574,0.8697121739387512,0.13098375499248505,0.8680099844932556,0.13166895508766174,0.8701443672180176,0.1306534856557846,0.8683723211288452,0.13101209700107574,0.8697121739387512,0.13098375499248505,9999,107,7149898,905.1495099067688,43.93669891357422,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7168253915961298
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,masked_patch_r2,best,0.8647354245185852,0.13455656170845032,0.86595219373703,0.1346360743045807,0.8644377589225769,0.1351797729730606,0.8668882846832275,0.13409441709518433,0.8647354245185852,0.13455656170845032,0.86595219373703,0.1346360743045807,9999,107,7149898,906.520750284195,43.5810432434082,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7168253915961298
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,masked_patch_r2,best,0.86217200756073,0.13732916116714478,0.8635240197181702,0.13705971837043762,0.8620295524597168,0.13744455575942993,0.8633537292480469,0.13694757223129272,0.86217200756073,0.13732916116714478,0.8635240197181702,0.13705971837043762,9000,107,7149898,905.4696047306061,45.25105667114258,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7168253915961298
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,masked_patch_r2,best,0.8465833067893982,0.15307475626468658,0.852270245552063,0.1482483595609665,0.8472041487693787,0.15234431624412537,0.8526341319084167,0.14832709729671478,0.8465833067893982,0.15307475626468658,0.852270245552063,0.1482483595609665,9999,107,7149898,910.5555827617645,2163513.25,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8028046326756328
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,543,masked_patch_r2,best,0.8466378450393677,0.15294988453388214,0.8543657064437866,0.14727544784545898,0.8475724458694458,0.1525217592716217,0.852179229259491,0.14801132678985596,0.8466378450393677,0.15294988453388214,0.8543657064437866,0.14727544784545898,9000,107,7149898,911.7699348926544,2163513.25,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8028046326756328
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,643,masked_patch_r2,best,0.8487500548362732,0.1506940871477127,0.8539649248123169,0.1459396481513977,0.847253680229187,0.15196025371551514,0.855008602142334,0.14578765630722046,0.8487500548362732,0.1506940871477127,0.8539649248123169,0.1459396481513977,9999,107,7149898,911.5515105724335,2163513.25,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8028046326756328
cifar10,reconstruction,v12_freqsrc_table_shuffled_J0_atoms108,460,masked_patch_r2,best,0.8613460659980774,0.1384316384792328,0.8629674315452576,0.1379735767841339,0.8618223071098328,0.13768020272254944,0.8622315526008606,0.13874909281730652,0.8613460659980774,0.1384316384792328,0.8629674315452576,0.1379735767841339,9999,107,7149898,908.3732495307922,46.10396194458008,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132
cifar10,reconstruction,v12_freqsrc_table_shuffled_J0_atoms108,560,masked_patch_r2,best,0.8699119687080383,0.1298035830259323,0.8723520636558533,0.12861312925815582,0.8716498017311096,0.128144770860672,0.8716362118721008,0.12908673286437988,0.8699119687080383,0.1298035830259323,0.8723520636558533,0.12861312925815582,9999,107,7149898,908.0274198055267,49.22084426879883,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132
cifar10,reconstruction,v12_freqsrc_table_shuffled_J0_atoms108,660,masked_patch_r2,best,0.8686479330062866,0.13097113370895386,0.8696469664573669,0.13041171431541443,0.867902934551239,0.13169491291046143,0.8694005012512207,0.13084334135055542,0.8686479330062866,0.13097113370895386,0.8696469664573669,0.13041171431541443,9999,107,7149898,909.6314783096313,53.58138656616211,1.0,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132
