dataset,task,basis,seed,metric,score_mode,score,loss,train_score,train_loss,final_score,final_loss,final_train_score,final_train_loss,best_score,best_loss,best_train_score,best_train_loss,best_step,num_features,param_count,wall_sec,coeff_norm,order0_coeff_share,order1_coeff_share,teacher_bias,teacher_basis,teacher_seed,teacher_init,teacher_init_r2_mean,order2_coeff_share
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,masked_patch_r2,best,0.8629904985427856,0.13637201488018036,0.8640241622924805,0.1367020159959793,0.8631477355957031,0.13651598989963531,0.8640387654304504,0.13679556548595428,0.8629904985427856,0.13637201488018036,0.8640241622924805,0.1367020159959793,9999,107,7149898,904.455461025238,169.73390197753906,0.8963795304298401,0.4432874917984009,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8155136433953208,
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,masked_patch_r2,best,0.8609684109687805,0.13830475509166718,0.8612238168716431,0.13938593864440918,0.8604162931442261,0.13917450606822968,0.8620420098304749,0.13897714018821716,0.8609684109687805,0.13830475509166718,0.8612238168716431,0.13938593864440918,9999,107,7149898,905.2243902683258,170.13134765625,0.8960468769073486,0.4439595639705658,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8155136433953208,
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,masked_patch_r2,best,0.8591645956039429,0.14033138751983643,0.8596823811531067,0.14091598987579346,0.8590895533561707,0.14036953449249268,0.8605850338935852,0.13972139358520508,0.8591645956039429,0.14033138751983643,0.8596823811531067,0.14091598987579346,9000,107,7149898,905.3810999393463,170.0426025390625,0.8954902291297913,0.44508108496665955,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8155136433953208,
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,masked_patch_r2,best,0.8583163022994995,0.14136312901973724,0.8592397570610046,0.14125367999076843,0.8589916229248047,0.14059005677700043,0.8592195510864258,0.141699880361557,0.8583163022994995,0.14136312901973724,0.8592397570610046,0.14125367999076843,9999,101,7149610,906.7073488235474,437.7969970703125,0.8469384908676147,0.4502059519290924,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7991223485975931,0.2828599214553833
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,masked_patch_r2,best,0.8569849133491516,0.14263026416301727,0.858873188495636,0.142717182636261,0.858412504196167,0.14168600738048553,0.857011079788208,0.14317287504673004,0.8569849133491516,0.14263026416301727,0.858873188495636,0.142717182636261,9000,101,7149610,905.39590716362,438.2805480957031,0.8467236757278442,0.45098400115966797,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7991223485975931,0.2822631299495697
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,masked_patch_r2,best,0.8572114706039429,0.14226976037025452,0.8579859733581543,0.14192140102386475,0.8558974862098694,0.1433439701795578,0.8588911294937134,0.14188402891159058,0.8572114706039429,0.14226976037025452,0.8579859733581543,0.14192140102386475,9999,101,7149610,906.6788640022278,438.0910339355469,0.8471697568893433,0.4498358964920044,MetricToric/results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7991223485975931,0.28275641798973083
