basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
v12_matched_axis_residual_toric_full_J2_atoms108,0,7,0.00010746982786626298,0.9080245521754052,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,0,0.00012180230794204313,0.7905092086464466,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,1,0.0003445134184142698,0.6192731126049085,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,2,0.00030322988315866406,0.7211066100151999,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,3,0.0003217806933311127,0.6055497632340437,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,4,0.00031486995572045596,0.47104996339488714,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,5,0.0003291476909988223,0.4783756009699456,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,6,0.0002698752965316089,0.6867468475636884,101
v12_matched_axis_residual_toric_full_J2_atoms108,1,7,0.00041689672067890115,0.563052399145463,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,0,0.00028351390111687783,0.725109000046907,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,1,0.00047113595965346094,0.654388077480523,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,2,0.0015399611311466103,0.7707789808158917,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,3,0.00025113256761719857,0.8470593001265164,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,4,0.00046304346085257426,0.611945170585681,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,5,0.00017040886382461035,0.6716995211857092,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,6,0.0004104476480458599,0.6721700659016472,101
v12_matched_axis_residual_toric_full_J2_atoms108,2,7,5.0403492256138654e-05,0.9164832011508697,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,0,0.00035484484181527547,0.8246433815087966,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,1,0.0005711224369281177,0.7253633486074802,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,2,0.0006363182425869239,0.8106302219283341,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,3,0.00023805352466322243,0.7272660948262177,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,4,0.0004363408664115366,0.8027382587067489,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,5,0.00012023471775952559,0.9109071317066821,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,6,0.00013468725270623293,0.8418284770405923,101
v12_matched_axis_residual_toric_full_J2_atoms108,3,7,0.0007826845841295778,0.7581196706642669,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,0,0.00025320251245540765,0.9119471281172788,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,1,0.0011807296442289433,0.8866565899296112,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,2,0.0007721536575371038,0.7971754412219638,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,3,0.0001530992363258697,0.9149586333858546,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,4,0.00023822108715923216,0.8690084180988695,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,5,0.0006262201041443388,0.8985058834746693,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,6,0.00022415547284180613,0.9285206249747977,101
v12_matched_axis_residual_toric_full_J2_atoms108,4,7,0.0006586666768029855,0.8428205474103769,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,0,0.0006499169234385882,0.8002253754162513,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,1,0.00013698330807000681,0.955369238705548,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,2,0.0004008974849114468,0.9112030799971028,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,3,0.0003151935765211406,0.9504562654943179,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,4,0.00012290623211211964,0.9500779027662548,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,5,0.0023291595461502543,0.936721732246147,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,6,0.000455005430776432,0.8152818879425684,101
v12_matched_axis_residual_toric_full_J2_atoms108,5,7,0.00028350034709585575,0.8595019581643583,101
