basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy
dct_top73,73,0.9988278746604919,2.4018077965592965e-05,1.0000091791152954,0.22797833383083344,1.0,0.0,0.0
dct_top13,13,0.8968049883842468,0.002114612376317382,1.0000025033950806,0.21291549503803253,1.0,0.0,0.0
fft_top6_J2,73,0.8939049243927002,0.0021740386728197336,208805.671875,24.987884521484375,73.01431274414062,31.861513137817383,49.272796630859375
fft_top6_J1,37,0.8335948586463928,0.003409877186641097,112.51338195800781,1.0794168710708618,2.2427337169647217,1.9973607063293457,0.0
fft_top6_J0,13,0.7629889845848083,0.004856691230088472,1.0000001192092896,0.17920538783073425,1.0,0.0,0.0
fft_top6_J2_coord_shuffle,73,0.04099792242050171,0.01965131238102913,208802.71875,46.530372619628906,319.96783447265625,171.44570922851562,233.7265625
constant,1,0.0,0.02049141749739647,1.0,0.02907051146030426,1.0,0.0,0.0
