source_file,basis_label,n,condition_number_mean,condition_number_std,condition_number_min,condition_number_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max,coeff_norm_mean,coeff_norm_std,coeff_norm_min,coeff_norm_max,fit_score_mean,fit_score_std,fit_score_min,fit_score_max,deployment_gap_mean,deployment_gap_std,deployment_gap_min,deployment_gap_max,tail_rms_mean,tail_rms_std,tail_rms_min,tail_rms_max
compactified_chart_results.csv,table_informed|asinh|bounded|1,192,2654288363652.688,224258501438.06317,2278053383071.026,3375079701891.308,40.17345146130372,4.254215458001496,25.4790418765304,47.40200635542443,3.988786731598445,10.506000187375966,0.07048009102629628,121.00738943127783,0.9363822950735199,0.038792092930023815,0.799940092764154,0.9904104535361287,-435.3170317033285,2413.351457636357,-24141.648578887212,-0.1706259058162417,0.3714581650096503,0.7447806866206632,0.02241299223890139,6.271501251659077
compactified_chart_results.csv,table_informed|asinh|bounded|2,192,3207782461375.7617,274146133033.55594,2562086594731.4375,3772456603284.371,31.776455798611853,5.330491779537547,19.284134552450364,42.22929137226649,40.35257516981132,75.43322972200367,0.14184104357075458,541.7803231333156,0.8990174033846889,0.07635891448089925,0.6389389173318515,0.9849198142274911,-2259.40746871777,7839.706579225335,-63729.67847481713,-0.37786184615329266,1.1716091057021456,1.756827120519115,0.036225946968350096,13.826052017591989
compactified_chart_results.csv,table_informed|asinh|raw|1,192,2671613447625.825,234142573540.16052,2279904180133.723,3394735476959.6094,39.875237882590575,4.4221816100864775,24.94253004368837,47.38013060008464,5.941588826808309,11.189923955944574,0.07074662674953522,64.63767062885782,0.9350037987685994,0.03955073362009005,0.7994885470837392,0.9904005305513685,-584.6882866759323,3065.9293706816725,-25733.71253595644,-0.18237426961511072,0.4585837291219415,0.8593458182031843,0.022689633508125848,6.474992239777882
compactified_chart_results.csv,table_informed|asinh|raw|2,192,3213758134804.2812,271463889483.82547,2563292756371.5977,3760573595972.8853,31.619464010012297,5.432907399424839,18.673171301034362,42.211423283230246,43.54137501418027,75.17991516761028,0.14207818031407182,515.040782053943,0.8963659056713177,0.07744558015832459,0.6368026158442819,0.9833167262147567,-2577.0515885351692,8323.323520867814,-56317.75994340499,-0.6468280462955402,1.3573074770766975,1.818270820035945,0.045086242683757945,12.946401950266065
compactified_chart_results.csv,table_informed|raw|bounded|1,192,2474398948912.739,99491595881.76382,2227439924288.5093,2708878693687.5337,42.191630349754305,2.982669630672809,35.32964106766463,48.11975478281294,1.5489502241224464,2.556587338478006,0.06409906771370494,19.31987436178573,0.9331989574481074,0.039883762176343825,0.7975965098237048,0.9908564807814667,-491.4146323748482,2396.9247999981612,-23346.48003746309,-0.1511871146196062,0.4109094349529007,0.7697816731654528,0.01831219404497786,6.167352456069848
compactified_chart_results.csv,table_informed|raw|bounded|2,192,3038561028006.5083,207710449610.85782,2493131459925.102,3400909886941.674,33.4904095312593,4.27394994724785,24.368516040670485,41.82312888038813,35.35113051436527,91.54869523442923,0.13883489109502253,637.8570175712082,0.8962826568830075,0.0758911274612154,0.6381840213653711,0.9812963531221287,-5162.140665358842,16902.83468710538,-131309.54368156695,-0.23827651292641083,1.7010065413162252,2.8707475315841138,0.028632248909128362,19.846109213418785
compactified_chart_results.csv,table_informed|raw|raw|1,192,2493416834581.3184,95805034137.3717,2272598942015.3857,2712407408039.7456,41.89604610153239,2.98648889534959,35.30135868676213,47.55099746678657,1.9513912565856313,3.1491122215999967,0.0691447770697771,19.656531447298264,0.9321046799907168,0.041015377373698834,0.7971487531600469,0.9906402467250963,-854.1949300886077,3628.415459377695,-24919.680076380766,-0.22745335816938572,0.5579110889392455,1.005206301827607,0.021595287224325146,6.371757976019988
compactified_chart_results.csv,table_informed|raw|raw|2,192,3057638160310.5566,202783552558.76276,2533158081001.708,3400968155277.798,33.323200894660204,4.35153336444346,24.338027313480634,41.775690097685775,37.785083113912606,89.11351371453044,0.14080692588827495,553.5046945935792,0.8926731259987437,0.07749764930039821,0.6376591676016774,0.9795261237107141,-7627.021694216873,19215.231036982765,-101382.44987927417,-0.6224937500194065,2.272344214827361,3.205718235841812,0.04427661855472275,17.43848097205989
frequency_source_results.csv,axial_only|0,2880,1.353456062128945,4.440892098500626e-16,1.3534560621289446,1.3534560621289446,4.977108546546001,8.881784197001252e-16,4.977108546546002,4.977108546546002,0.19377578526453554,0.43121563570558236,8.771165369792823e-18,4.04457602621507,0.09750177937932787,0.7081091523510572,-1.9735405186228023,0.9406564971200125,nan,nan,nan,nan,nan,nan,nan,nan
frequency_source_results.csv,fixed_grid|0,2880,712872.8622385953,663174.9624373834,135359.12382350545,6803400.184994259,56.25583646571979,0.5175757975171817,54.716180290974286,57.70706128067527,157.44526467500904,79.35541804472577,41.92097711651524,668.8325396869494,0.4048055832109402,0.7677417833256238,-1.9109119948278175,0.9922293008059727,nan,nan,nan,nan,nan,nan,nan,nan
