dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,classification,toric_PJ_R2,577,0,0,raw,interior_only,-0.002014060039073229,0.048591237515211105,0.7294943928718567,0.0985231101512909,0.08371733874082565,0.02938651479780674,0.1990940123796463,0.13885997235774994,0.08828287571668625,0.4438791871070862,0.8341051936149597,1.4048327634704514e-17,0.5824259519577026,0.5122444033622742,0.4820249080657959,0.8355382084846497,0.857062578201294,0.12669892609119415,0.016238423064351082,0.3792577087879181,0.6207422018051147,-0.19455575942993164
cifar10,classification,toric_PJ_R2,577,0,0,raw,reflect_padding,-0.002014060039073229,0.048591237515211105,0.7294943928718567,0.4560088813304901,0.25763624906539917,0.02938651666045189,0.9404088854789734,0.039549484848976135,0.08828287571668625,0.4438791871070862,0.8341051936149597,1.4048327634704514e-17,0.5824259519577026,0.5122444033622742,0.4820249080657959,0.8355382084846497,0.857062578201294,0.12669892609119415,0.016238423064351082,0.3792577087879181,0.6207422018051147,-0.19455575942993164
cifar10,classification,toric_PJ_R2,577,0,0,centered,interior_only,-1.3245476937484568e-10,0.048591237515211105,0.7288685441017151,0.0985231101512909,0.08371733129024506,0.02938651666045189,0.1990940272808075,0.13885998725891113,0.08737017214298248,0.4438791871070862,0.8355382084846497,1.4048327634704514e-17,0.5824259519577026,0.5122444033622742,0.4820249080657959,0.8355382084846497,0.857062578201294,0.12669892609119415,0.016238423064351082,0.3792577087879181,0.6207422018051147,-0.19455575942993164
cifar10,classification,toric_PJ_R2,577,0,0,centered,reflect_padding,-1.3245476937484568e-10,0.048591237515211105,0.7288685441017151,0.4560088813304901,0.25763624906539917,0.02938651666045189,0.9404088854789734,0.039549484848976135,0.08737017214298248,0.4438791871070862,0.8355382084846497,1.4048327634704514e-17,0.5824259519577026,0.5122444033622742,0.4820249080657959,0.8355382084846497,0.857062578201294,0.12669892609119415,0.016238423064351082,0.3792577087879181,0.6207422018051147,-0.19455575942993164
cifar10,classification,toric_PJ_R2,577,0,0,normalized,interior_only,-9.934107703113426e-11,0.06666667014360428,1.0,0.18545551598072052,0.1575857698917389,0.05531586334109306,0.37476563453674316,0.13885997235774994,0.16446170210838318,0.8355382680892944,0.8355382680892944,3.552713599391162e-17,0.5824260115623474,0.5122443437576294,0.4820249080657959,0.8355382680892944,0.857062578201294,0.12669891119003296,0.01623842678964138,0.3792577385902405,0.6207423210144043,-0.1945558786392212
cifar10,classification,toric_PJ_R2,577,0,0,normalized,reflect_padding,-9.934107703113426e-11,0.06666667014360428,1.0,0.858370840549469,0.4849628806114197,0.05531586334109306,1.7701835632324219,0.03954948112368584,0.16446170210838318,0.8355382680892944,0.8355382680892944,3.552713599391162e-17,0.5824260115623474,0.5122443437576294,0.4820249080657959,0.8355382680892944,0.857062578201294,0.12669891119003296,0.01623842678964138,0.3792577385902405,0.6207423210144043,-0.1945558786392212
cifar10,classification,toric_PJ_R2,577,0,1,raw,interior_only,-0.007556733209639788,0.06737995892763138,1.017035722732544,0.10672013461589813,0.19688814878463745,0.04761786758899689,0.271054208278656,0.13557608425617218,0.0930715873837471,0.941290020942688,0.9100201725959778,3.2176550263770447e-16,0.5856369733810425,0.5300627946853638,0.5928811430931091,0.9214664697647095,0.8625832200050354,0.09799128025770187,0.03942558914422989,0.3435934782028198,0.656406581401825,-0.08251404762268066
cifar10,classification,toric_PJ_R2,577,0,1,raw,reflect_padding,-0.007556733209639788,0.06737995892763138,1.017035722732544,0.49914848804473877,0.594942033290863,0.047617871314287186,1.367858648300171,0.041707560420036316,0.0930715873837471,0.941290020942688,0.9100201725959778,3.2176550263770447e-16,0.5856369733810425,0.5300627946853638,0.5928811430931091,0.9214664697647095,0.8625832200050354,0.09799128025770187,0.03942558914422989,0.3435934782028198,0.656406581401825,-0.08251404762268066
cifar10,classification,toric_PJ_R2,577,0,1,centered,interior_only,9.271833856239198e-10,0.06737995892763138,1.0106993913650513,0.10672012716531754,0.19688814878463745,0.04761786386370659,0.271054208278656,0.13557608425617218,0.08022314310073853,0.941290020942688,0.9214662909507751,2.246742981191211e-16,0.5856369733810425,0.5300627946853638,0.5928810834884644,0.9214664101600647,0.8625831604003906,0.09799127280712128,0.03942558541893959,0.3435934782028198,0.656406581401825,-0.08251404762268066
cifar10,classification,toric_PJ_R2,577,0,1,centered,reflect_padding,9.271833856239198e-10,0.06737995892763138,1.0106993913650513,0.49914848804473877,0.5949420928955078,0.047617871314287186,1.367858648300171,0.04170755669474602,0.08022314310073853,0.941290020942688,0.9214662909507751,2.246742981191211e-16,0.5856369733810425,0.5300627946853638,0.5928810834884644,0.9214664101600647,0.8625831604003906,0.09799127280712128,0.03942558541893959,0.3435934782028198,0.656406581401825,-0.08251404762268066
cifar10,classification,toric_PJ_R2,577,0,1,normalized,interior_only,1.0596381549987655e-09,0.06666666269302368,0.9999999403953552,0.1044725775718689,0.19274166226387024,0.04661502316594124,0.2653457522392273,0.135576069355011,0.07853362709283829,0.9214662909507751,0.9214662909507751,1.667801652745511e-16,0.5856369137763977,0.5300627946853638,0.5928811430931091,0.9214662909507751,0.8625829815864563,0.09799127280712128,0.03942558541893959,0.3435934782028198,0.6564065217971802,-0.08251404762268066
cifar10,classification,toric_PJ_R2,577,0,1,normalized,reflect_padding,1.0596381549987655e-09,0.06666666269302368,0.9999999403953552,0.48863640427589417,0.5824124813079834,0.04661502689123154,1.3390512466430664,0.04170755669474602,0.07853362709283829,0.9214662909507751,0.9214662909507751,1.667801652745511e-16,0.5856369137763977,0.5300627946853638,0.5928811430931091,0.9214662909507751,0.8625829815864563,0.09799127280712128,0.03942558541893959,0.3435934782028198,0.6564065217971802,-0.08251404762268066
