subset_size,subset_seed,comparison,lhs,rhs,r2_margin,lhs_r2,rhs_r2
128,101,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07894527912139893,0.8162544965744019,0.7373092174530029
128,101,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06292307376861572,0.8791775703430176,0.8162544965744019
128,101,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.14186835289001465,0.8791775703430176,0.7373092174530029
128,101,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8559044599533081,0.8791775703430176,0.023273110389709473
128,101,DCT73_minus_J2,dct_top73,fft_top6_J2,0.11930525302886963,0.9984828233718872,0.8791775703430176
128,101,DCT13_minus_J0,dct_top13,fft_top6_J0,0.13380444049835205,0.871113657951355,0.7373092174530029
128,202,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07305234670639038,0.8255428671836853,0.7524905204772949
128,202,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06032747030258179,0.8858703374862671,0.8255428671836853
128,202,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.13337981700897217,0.8858703374862671,0.7524905204772949
128,202,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.9209709167480469,0.8858703374862671,-0.035100579261779785
128,202,DCT73_minus_J2,dct_top73,fft_top6_J2,0.11276066303253174,0.9986310005187988,0.8858703374862671
128,202,DCT13_minus_J0,dct_top13,fft_top6_J0,0.13882875442504883,0.8913192749023438,0.7524905204772949
128,303,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.06971681118011475,0.8208267688751221,0.7511099576950073
128,303,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06669872999191284,0.8875254988670349,0.8208267688751221
128,303,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.1364155411720276,0.8875254988670349,0.7511099576950073
128,303,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8629314303398132,0.8875254988670349,0.02459406852722168
128,303,DCT73_minus_J2,dct_top73,fft_top6_J2,0.11122483015060425,0.9987503290176392,0.8875254988670349
128,303,DCT13_minus_J0,dct_top13,fft_top6_J0,0.14775192737579346,0.8988618850708008,0.7511099576950073
128,404,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.06982243061065674,0.8665783405303955,0.7967559099197388
128,404,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.054057180881500244,0.9206355214118958,0.8665783405303955
128,404,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.12387961149215698,0.9206355214118958,0.7967559099197388
128,404,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,1.155215322971344,0.9206355214118958,-0.23457980155944824
128,404,DCT73_minus_J2,dct_top73,fft_top6_J2,0.07826054096221924,0.998896062374115,0.9206355214118958
128,404,DCT13_minus_J0,dct_top13,fft_top6_J0,0.11942946910858154,0.9161853790283203,0.7967559099197388
128,505,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.0759994387626648,0.828811526298523,0.7528120875358582
128,505,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06186407804489136,0.8906756043434143,0.828811526298523
128,505,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.13786351680755615,0.8906756043434143,0.7528120875358582
128,505,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8714089393615723,0.8906756043434143,0.01926666498184204
128,505,DCT73_minus_J2,dct_top73,fft_top6_J2,0.10811179876327515,0.9987874031066895,0.8906756043434143
128,505,DCT13_minus_J0,dct_top13,fft_top6_J0,0.1335676908493042,0.8863797783851624,0.7528120875358582
192,101,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07905793190002441,0.817528247833252,0.7384703159332275
192,101,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.062418997287750244,0.8799472451210022,0.817528247833252
192,101,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.14147692918777466,0.8799472451210022,0.7384703159332275
192,101,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8567668199539185,0.8799472451210022,0.02318042516708374
192,101,DCT73_minus_J2,dct_top73,fft_top6_J2,0.11858886480331421,0.9985361099243164,0.8799472451210022
192,101,DCT13_minus_J0,dct_top13,fft_top6_J0,0.12979859113693237,0.8682689070701599,0.7384703159332275
192,202,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07188534736633301,0.8285161256790161,0.7566307783126831
192,202,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.0625607967376709,0.891076922416687,0.8285161256790161
192,202,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.1344461441040039,0.891076922416687,0.7566307783126831
192,202,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8618149161338806,0.891076922416687,0.029262006282806396
192,202,DCT73_minus_J2,dct_top73,fft_top6_J2,0.10774612426757812,0.9988230466842651,0.891076922416687
192,202,DCT13_minus_J0,dct_top13,fft_top6_J0,0.138671875,0.8953026533126831,0.7566307783126831
192,303,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.06952834129333496,0.8334721326828003,0.7639437913894653
192,303,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.060991883277893066,0.8944640159606934,0.8334721326828003
192,303,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.13052022457122803,0.8944640159606934,0.7639437913894653
192,303,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8611176609992981,0.8944640159606934,0.033346354961395264
192,303,DCT73_minus_J2,dct_top73,fft_top6_J2,0.1043543815612793,0.9988183975219727,0.8944640159606934
192,303,DCT13_minus_J0,dct_top13,fft_top6_J0,0.13392925262451172,0.897873044013977,0.7639437913894653
192,404,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.0721939206123352,0.8415071964263916,0.7693132758140564
