subset_size,comparison,n,r2_margin_mean,r2_margin_std,r2_margin_min,r2_margin_max
128,DCT13_minus_J0,5,0.13467645645141602,0.009194236394301095,0.11942946910858154,0.14775192737579346
128,DCT73_minus_J2,5,0.1059326171875,0.014310483935999745,0.07826054096221924,0.11930525302886963
128,J1_minus_J0,5,0.07350726127624511,0.0035759033247337586,0.06971681118011475,0.07894527912139893
128,J2_minus_J0,5,0.1346813678741455,0.0060524070925588695,0.12387961149215698,0.14186835289001465
128,J2_minus_J1,5,0.06117410659790039,0.004133372353826376,0.054057180881500244,0.06669872999191284
128,J2_minus_shuffle,5,0.9332862138748169,0.11328788506730317,0.8559044599533081,1.155215322971344
192,DCT13_minus_J0,5,0.13490289449691772,0.005288068171231147,0.12913113832473755,0.14298361539840698
192,DCT73_minus_J2,5,0.10953698158264161,0.007841825599632861,0.0986664891242981,0.11858886480331421
192,J1_minus_J0,5,0.07350682020187378,0.003251164401701134,0.06952834129333496,0.07905793190002441
192,J2_minus_J0,5,0.13594571352005005,0.005095143462811087,0.13052022457122803,0.14241117238998413
192,J2_minus_J1,5,0.06243889331817627,0.0029080919768765456,0.058680176734924316,0.06754261255264282
192,J2_minus_shuffle,5,0.9157773733139039,0.11765837740166564,0.8482906818389893,1.1508967876434326
256,DCT13_minus_J0,1,0.13381600379943848,0.0,0.13381600379943848,0.13381600379943848
256,DCT73_minus_J2,1,0.10492295026779175,0.0,0.10492295026779175,0.10492295026779175
256,J1_minus_J0,1,0.07060587406158447,0.0,0.07060587406158447,0.07060587406158447
256,J2_minus_J0,1,0.13091593980789185,0.0,0.13091593980789185,0.13091593980789185
256,J2_minus_J1,1,0.06031006574630737,0.0,0.06031006574630737,0.06031006574630737
256,J2_minus_shuffle,1,0.8700991868972778,0.0,0.8700991868972778,0.8700991868972778
