protocol,comparison,frequency_source,fit_target,order,directional_atom_budget,full_atom_budget,directional_num_features,full_num_features,directional_target_fit_r2,full_target_fit_r2,delta_target_fit_r2_full_minus_directional,directional_table_fit_r2,full_table_fit_r2,delta_table_fit_r2_full_minus_directional,directional_condition_number,full_condition_number,condition_ratio_full_over_directional,directional_coeff_norm,full_coeff_norm,coeff_norm_ratio_full_over_directional
nested,nested_same_centers,generic,axis_plus_residual,1,109,73,61.0,37.0,0.4013303529002328,0.4013303528983992,-1.8335888363196773e-12,0.8548699219470035,0.8548699219468157,-1.8784973576657649e-13,2132899494545.7996,14.637294188962073,6.862627248209406e-12,0.3923003188596846,0.4724943096725706,1.2044198970981956
nested,nested_same_centers,generic,axis_plus_residual,2,109,73,109.0,73.0,0.5722196931687558,0.5722140840039625,-5.609164793307642e-06,0.8955505755502653,0.8955494443978361,-1.1311524291679476e-06,2828464447258.8115,4725.291510348593,1.6706207903472427e-09,34.9601398128358,37.95250607606246,1.0855936583562518
nested,nested_same_centers,generic,full_table,1,109,73,61.0,37.0,0.7490556864548491,0.7490556864554166,5.6754601018838e-13,0.7490556864548491,0.7490556864554166,5.6754601018838e-13,2132899494545.7996,14.637294188962073,6.862627248209406e-12,1.0825160149535094,1.241164362160494,1.1465551964270921
nested,nested_same_centers,generic,full_table,2,109,73,109.0,73.0,0.8372860742237974,0.8372847764960886,-1.2977277088488393e-06,0.8372860742237974,0.8372847764960886,-1.2977277088488393e-06,2828464447258.8115,4725.291510348593,1.6706207903472427e-09,52.64711224544224,56.614565241850585,1.0753593659213818
nested,nested_same_centers,generic,oblique_residual,1,109,73,61.0,37.0,0.4013303529002328,0.4013303528983992,-1.8335888363196773e-12,-0.6344922702889422,-0.6344922348162149,3.547272731108109e-08,2132899494545.7996,14.637294188962073,6.862627248209406e-12,0.3923003188596846,0.4724943096725706,1.2044198970981956
nested,nested_same_centers,generic,oblique_residual,2,109,73,109.0,73.0,0.5722196931687558,0.5722140840039625,-5.609164793307642e-06,-0.586712126317007,-0.586708869684645,3.2566323620031312e-06,2828464447258.8115,4725.291510348593,1.6706207903472427e-09,34.9601398128358,37.95250607606246,1.0855936583562518
nested,nested_same_centers,table_informed,axis_plus_residual,1,109,73,61.0,37.0,0.3513953440697593,0.35139534406870104,-1.0582645870726992e-12,0.8461531577541255,0.8461531577539358,-1.8962609260597674e-13,2569327729423.037,1918063768465.3223,0.7465235931175034,0.15376748661643053,0.17000871311728472,1.10562198068157
nested,nested_same_centers,table_informed,axis_plus_residual,2,109,73,109.0,73.0,0.48292439039022944,0.48292438697593254,-3.4142969007611157e-09,0.8744263661421199,0.8744263649361926,-1.2059272469500115e-09,3357676924106.608,2694391538193.027,0.8024570556054721,4.11283951772186,4.604999664403444,1.1196643206137533
nested,nested_same_centers,table_informed,full_table,1,109,73,61.0,37.0,0.694889360355306,0.6948778953110594,-1.146504424665018e-05,0.694889360355306,0.6948778953110594,-1.146504424665018e-05,2834983526065.226,2148419026319.42,0.7578241660195065,26.828347530293062,30.402587147791724,1.1332262307047734
nested,nested_same_centers,table_informed,full_table,2,109,73,109.0,73.0,0.7714600478436457,0.771415214204648,-4.483363899776549e-05,0.7714600478436457,0.771415214204648,-4.483363899776549e-05,3644032405922.496,2887416826865.0864,0.7923685920499188,87.17244081028774,91.05509832690103,1.0445399656189858
nested,nested_same_centers,table_informed,oblique_residual,1,109,73,61.0,37.0,0.3513953440697593,0.35139534406870104,-1.0582645870726992e-12,-0.6381392252762713,-0.6381392674542673,-4.217799598471572e-08,2569327729423.037,1918063768465.3223,0.7465235931175034,0.15376748661643053,0.17000871311728472,1.10562198068157
nested,nested_same_centers,table_informed,oblique_residual,2,109,73,109.0,73.0,0.48292439039022944,0.48292438697593254,-3.4142969007611157e-09,-0.6086603053713785,-0.6086603526606963,-4.7289317794962926e-08,3357676924106.608,2694391538193.027,0.8024570556054721,4.11283951772186,4.604999664403444,1.1196643206137533
