dataset,task,basis,n,score_mean,score_std,score_best,best_score_mean,final_score_mean,train_score_mean,loss_mean,num_features,param_count,wall_sec_max
cifar10,reconstruction,axis_additive,1,0.6042166948318481,0.0,0.6042166948318481,0.6042166948318481,0.6034532785415649,0.609957218170166,0.3940108120441437,5,7145002,900.3565304279327
cifar10,reconstruction,pruned_toric_PJ,1,0.6765164732933044,0.0,0.6765164732933044,0.6765164732933044,0.6774594783782959,0.6806628704071045,0.32294121384620667,33,7146346,902.9746007919312
cifar10,reconstruction,relative_2d_table,1,0.8361638188362122,0.0,0.8361638188362122,0.8361638188362122,0.8376511335372925,0.8367145657539368,0.1634158045053482,225,7155562,905.3605823516846
cifar10,reconstruction,toric_PJ_R2,1,0.7010729908943176,0.0,0.7010729908943176,0.7010729908943176,0.7004276514053345,0.7052909135818481,0.29827311635017395,55,7147402,904.3505272865295
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,1,0.39266371726989746,0.0,0.39266371726989746,0.39266371726989746,0.39192378520965576,0.4086872339248657,0.6058050990104675,55,7147402,904.8178246021271
