dataset,task,basis,gauge,boundary,n,bias_mean_mean,bias_mean_std,bias_std_mean,bias_std_std,bias_norm_mean,bias_norm_std,E_xx_mean,E_xx_std,E_yy_mean,E_yy_std,E_xy_mean,E_xy_std,E_lap_mean,E_lap_std,mixed_ratio_mean,mixed_ratio_std,E_axial_mean,E_axial_std,E_obl_mean,E_obl_std,obl_ratio_mean,obl_ratio_std,dc_mass_ratio_mean,dc_mass_ratio_std,spectral_entropy_mean,spectral_entropy_std,topk_spectral_mass_mean,topk_spectral_mass_std,topk_dct_mass_mean,topk_dct_mass_std,diagonal_atom_ratio_mean,diagonal_atom_ratio_std,low_radial_mass_mean,low_radial_mass_std,mid_radial_mass_mean,mid_radial_mass_std,high_radial_mass_mean,high_radial_mass_std,even_spectral_mass_mean,even_spectral_mass_std,odd_spectral_mass_mean,odd_spectral_mass_std,complex_pair_consistency_mean,complex_pair_consistency_std
cifar10,classification,no_pos_constant,centered,interior_only,32,-6.608489254530703e-12,4.02017644950675e-11,7.364648988459293e-11,7.561878298648822e-11,1.2234110450236053e-09,1.1763009081331817e-09,1.2654179025539012e-18,2.0103285563584995e-18,1.2654179025539012e-18,2.0103285563584995e-18,1.6256742137218042e-19,2.8026212060711597e-19,4.0072748231519175e-18,6.286023748366935e-18,1.6256742262791624e-07,2.80262124866216e-07,1.79684587843229e-18,3.103737300379206e-18,1.083572540941913e-18,1.764056018020227e-18,1.0835725373584278e-06,1.7640560095193783e-06,3.238009161497343e-19,7.740206282768029e-19,0.0009965762545223605,0.0014950322218136524,0.0003051405601052007,0.0005439637142305339,2.038593074739543e-06,3.3500908675262793e-06,0.00024380382392735073,0.00039691259053368627,0.0004868430300062898,0.0008053734491331787,5.7583098455642884e-05,0.0001185757571006477,1.963787962455145e-05,2.9829376322134562e-05,2.5069513109541035e-06,4.0358503427652064e-06,0.0,0.0,-0.10827721655368805,0.3497700772079604
cifar10,classification,no_pos_constant,centered,reflect_padding,32,-6.608489254530703e-12,4.02017644950675e-11,7.364648988459293e-11,7.561878298648822e-11,1.2234110450236053e-09,1.1763009081331817e-09,1.5024791807151672e-18,2.4211270219384464e-18,1.5024791807151672e-18,2.4211270219384464e-18,1.6256742137218042e-19,2.8026212060711597e-19,4.582374211980941e-18,7.261727985482436e-18,1.6256742262791624e-07,2.80262124866216e-07,1.79684587843229e-18,3.103737300379206e-18,1.083572540941913e-18,1.764056018020227e-18,1.0835725373584278e-06,1.7640560095193783e-06,3.238009161497343e-19,7.740206282768029e-19,0.0009965762545223605,0.0014950322218136524,0.0003051405601052007,0.0005439637142305339,2.038593074739543e-06,3.3500908675262793e-06,0.00024380382392735073,0.00039691259053368627,0.0004868430300062898,0.0008053734491331787,5.7583098455642884e-05,0.0001185757571006477,1.963787962455145e-05,2.9829376322134562e-05,2.5069513109541035e-06,4.0358503427652064e-06,0.0,0.0,-0.10827721655368805,0.3497700772079604
cifar10,classification,no_pos_constant,normalized,interior_only,32,-0.009380195497215027,0.030698554972744437,0.05411885559442453,0.018609558725185764,0.9687499981373549,0.17399263600391157,0.503409186610952,0.4325312613209596,0.5034091919660568,0.4325312868509034,0.05590509815374389,0.05239214824368776,1.5343217626214027,1.2481269184969672,0.0483717821771279,0.02427227731961175,0.6330658150836825,0.23859709073088597,0.33568419085350043,0.21825530800666498,0.3356841875938714,0.21825530643113225,2.4781531019377458e-15,5.456174182232454e-15,0.5757973260032905,0.20489522866277243,0.4602020086022094,0.2587070796553795,0.6936219909694046,0.2694865090804955,0.440743668936193,0.2413528379464747,0.7180763750802726,0.29132876598703766,0.14420828444417566,0.15489056403316223,0.07521533295221161,0.11631770763516143,0.9375,0.24206145913796356,0.0,0.0,-0.108277203515172,0.34977008808657556
cifar10,classification,no_pos_constant,normalized,reflect_padding,32,-0.009380195497215027,0.030698554972744437,0.05411885559442453,0.018609558725185764,0.9687499981373549,0.17399263600391157,0.6916888817213476,0.6436006516173144,0.6916888826526701,0.6436006564635763,0.055905098051880486,0.05239214829430749,2.0751319397240877,1.9751709868568965,0.03992615026072599,0.023941161385983626,0.6330658150836825,0.23859709073088597,0.33568419085350043,0.21825530800666498,0.3356841875938714,0.21825530643113225,2.4781531019377458e-15,5.456174182232454e-15,0.5757973260032905,0.20489522866277243,0.4602020086022094,0.2587070796553795,0.6936219909694046,0.2694865090804955,0.440743668936193,0.2413528379464747,0.7180763750802726,0.29132876598703766,0.14420828444417566,0.15489056403316223,0.07521533295221161,0.11631770763516143,0.9375,0.24206145913796356,0.0,0.0,-0.108277203515172,0.34977008808657556
cifar10,classification,no_pos_constant,raw,interior_only,32,4.47212671303987e-05,0.000698778975461576,8.156073689603811e-11,7.842006345849319e-11,0.007955026469971926,0.006858079938419594,1.2654179025539012e-18,2.0103285563584995e-18,1.2654179025539012e-18,2.0103285563584995e-18,1.6256742137218042e-19,2.8026212060711597e-19,4.0072748231519175e-18,6.286023748366935e-18,1.6256742262791624e-07,2.80262124866216e-07,0.00011031570464592466,0.0001607909644041702,3.1164116431899636e-18,6.014024141720038e-18,2.7988848793705213e-14,1.874686541011188e-14,8.403010820845838e-05,0.00019139653431308036,0.000996576249974887,0.0014950321933081582,0.00030514056935650874,0.0005439637249017497,2.0385931002450744e-06,3.350090717287939e-06,0.0002438038334033263,0.00039691261750684776,0.0004868430407019564,0.0008053734663184964,5.7583099044501707e-05,0.0001185757599719696,1.963787960145881e-05,2.982937693797542e-05,2.8804184973697062e-06,4.557209325568459e-06,0.0,0.0,-0.13058047369122505,0.3072522553378063
cifar10,classification,no_pos_constant,raw,reflect_padding,32,4.47212671303987e-05,0.000698778975461576,8.156073689603811e-11,7.842006345849319e-11,0.007955026469971926,0.006858079938419594,1.5024791807151672e-18,2.4211270219384464e-18,1.5024791807151672e-18,2.4211270219384464e-18,1.6256742137218042e-19,2.8026212060711597e-19,4.582374211980941e-18,7.261727985482436e-18,1.6256742262791624e-07,2.80262124866216e-07,0.00011031570464592466,0.0001607909644041702,3.1164116431899636e-18,6.014024141720038e-18,2.7988848793705213e-14,1.874686541011188e-14,8.403010820845838e-05,0.00019139653431308036,0.000996576249974887,0.0014950321933081582,0.00030514056935650874,0.0005439637249017497,2.0385931002450744e-06,3.350090717287939e-06,0.0002438038334033263,0.00039691261750684776,0.0004868430407019564,0.0008053734663184964,5.7583099044501707e-05,0.0001185757599719696,1.963787960145881e-05,2.982937693797542e-05,2.8804184973697062e-06,4.557209325568459e-06,0.0,0.0,-0.13058047369122505,0.3072522553378063
