checkpoint,method,basis,seed,state,extension,dataset,train_resolution,eval_resolution,train_side,eval_side,patch_size,test_count,score,loss,bias_rms_all,bias_max_all,bias_rms_near_r,bias_max_near_r,bias_rms_beyond_train_radius,bias_max_beyond_train_radius
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed426_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,426,best,functional,tiny-imagenet,32,64,8,16,4,10000,0.6502326726913452,0.4159988760948181,0.031178975477814674,0.3407941460609436,0.05853235349059105,0.24213439226150513,0.026995021849870682,0.3407941460609436
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed426_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,426,best,no_pos,tiny-imagenet,32,64,8,16,4,10000,0.2208971381187439,0.9255434274673462,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed426_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,426,best,table_clamp,tiny-imagenet,32,64,8,16,4,10000,0.5700369477272034,0.5107812881469727,0.01716684177517891,0.359813928604126,0.0589916855096817,0.2764281928539276,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed426_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,426,best,radial_truncate_r4,tiny-imagenet,32,64,8,16,4,10000,0.6558572053909302,0.4092835783958435,0.01321698259562254,0.24213439226150513,0.05853235349059105,0.24213439226150513,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,functional,tiny-imagenet,32,32,8,8,4,10000,0.8372153043746948,0.16399741172790527,0.03872217237949371,0.3221163749694824,0.06134267523884773,0.2628554105758667,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,no_pos,tiny-imagenet,32,32,8,8,4,10000,0.2399340271949768,0.7648414969444275,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,table_clamp,tiny-imagenet,32,32,8,8,4,10000,0.8371931314468384,0.16400526463985443,0.03872217237949371,0.3221163749694824,0.06134267523884773,0.26285549998283386,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,radial_truncate_r4,tiny-imagenet,32,32,8,8,4,10000,0.8369470238685608,0.16430532932281494,0.0286265816539526,0.2628554105758667,0.06134267523884773,0.2628554105758667,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,functional,tiny-imagenet,32,40,8,10,4,10000,0.8074399828910828,0.20052821934223175,0.034645404666662216,0.3160552680492401,0.04986435920000076,0.2362772524356842,0.01294220145791769,0.3160552680492401
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,no_pos,tiny-imagenet,32,40,8,10,4,10000,0.23477745056152344,0.795801043510437,0.0,0.0,0.0,0.0,0.0,0.0
