dataset,task,basis,seed,mode,score,loss,delta_from_normal
cifar10,reconstruction,dct_top33,526,normal,0.8512002229690552,0.14833693206310272,0.0
cifar10,reconstruction,dct_top33,526,zero_bias,0.22713148593902588,0.7708151936531067,0.6240687370300293
cifar10,reconstruction,dct_top33,526,shuffle_bias,0.2503294348716736,0.7475919127464294,0.6008707880973816
cifar10,reconstruction,dct_top33,526,axis_only_bias,0.8215512037277222,0.17787961661815643,0.029649019241333008
cifar10,reconstruction,dct_top33,526,obl_residual_only_bias,0.6737384796142578,0.3252684772014618,0.17746174335479736
cifar10,reconstruction,dct_top33,526,axis_plus_obl_residual,0.8511896133422852,0.14834581315517426,1.0609626770019531e-05
cifar10,reconstruction,dct_top33,526,axis_plus_shuffled_residual,0.6935970783233643,0.3054644465446472,0.15760314464569092
cifar10,reconstruction,dct_top33,526,topk_spectrum_only_bias,0.732661247253418,0.26650920510292053,0.11853897571563721
