ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,layer,head,fit_target,order,phase_chart,jet_chart,chart_scale,num_centers,num_features
1e-08,0.8307314065379984,2.545075868482677e-05,3.0148799128594974,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,2.0,17,103
1e-06,0.830725033965342,2.5451716847268842e-05,2.989174273178271,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,2.0,17,103
0.0001,0.8122524354589971,2.822920579102981e-05,1.6205742998579156,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,2.0,17,103
0.01,0.7446018644153316,3.840095899880707e-05,0.1273206816561507,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,2.0,17,103
1e-08,0.8307314065379984,2.545075868482677e-05,3.0148799128594974,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,4.0,17,103
1e-06,0.830725033965342,2.5451716847268842e-05,2.989174273178271,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,4.0,17,103
0.0001,0.8122524354589971,2.822920579102981e-05,1.6205742998579156,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,4.0,17,103
0.01,0.7446018644153316,3.840095899880707e-05,0.1273206816561507,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,4.0,17,103
1e-08,0.8307314065379984,2.545075868482677e-05,3.0148799128594974,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,8.0,17,103
1e-06,0.830725033965342,2.5451716847268842e-05,2.989174273178271,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,8.0,17,103
0.0001,0.8122524354589971,2.822920579102981e-05,1.6205742998579156,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,8.0,17,103
0.01,0.7446018644153316,3.840095899880707e-05,0.1273206816561507,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,8.0,17,103
1e-08,0.8307314065379984,2.545075868482677e-05,3.0148799128594974,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,16.0,17,103
1e-06,0.830725033965342,2.5451716847268842e-05,2.989174273178271,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,16.0,17,103
0.0001,0.8122524354589971,2.822920579102981e-05,1.6205742998579156,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,16.0,17,103
0.01,0.7446018644153316,3.840095899880707e-05,0.1273206816561507,2381916449255.14,45.73638044518814,0,0,axis_plus_residual,1,raw,raw,16.0,17,103
1e-08,0.8368238776561016,2.4534711537215018e-05,1.4832066910382082,2337082881306.3296,46.23587231765083,0,0,axis_plus_residual,1,raw,bounded,2.0,17,103
1e-06,0.8368234851824501,2.4534770548470376e-05,1.4800090472205374,2337082881306.3296,46.23587231765083,0,0,axis_plus_residual,1,raw,bounded,2.0,17,103
0.0001,0.8341776846308298,2.4932585819397096e-05,1.2183441268833697,2337082881306.3296,46.23587231765083,0,0,axis_plus_residual,1,raw,bounded,2.0,17,103
0.01,0.7608213975849517,3.5962234742654885e-05,0.13426696549911418,2337082881306.3296,46.23587231765083,0,0,axis_plus_residual,1,raw,bounded,2.0,17,103
1e-08,0.8337785762332458,2.4992594656879863e-05,2.3335579548714076,2362450240955.4487,45.955951993094104,0,0,axis_plus_residual,1,raw,bounded,4.0,17,103
1e-06,0.8337762487120376,2.4992944616546876e-05,2.3214685229935763,2362450240955.4487,45.955951993094104,0,0,axis_plus_residual,1,raw,bounded,4.0,17,103
0.0001,0.8237258376064189,2.650409670034926e-05,1.532713206542364,2362450240955.4487,45.955951993094104,0,0,axis_plus_residual,1,raw,bounded,4.0,17,103
0.01,0.7503677449511983,3.753401711004597e-05,0.12790789451277576,2362450240955.4487,45.955951993094104,0,0,axis_plus_residual,1,raw,bounded,4.0,17,103
1e-08,0.8317787533148873,2.529328251318296e-05,2.8049284019494625,2375679945769.9917,45.80733333059844,0,0,axis_plus_residual,1,raw,bounded,8.0,17,103
1e-06,0.8317739548950835,2.5294003990345342e-05,2.784147021606937,2375679945769.9917,45.80733333059844,0,0,axis_plus_residual,1,raw,bounded,8.0,17,103
0.0001,0.8160218027237363,2.766245412914576e-05,1.6051528512908768,2375679945769.9917,45.80733333059844,0,0,axis_plus_residual,1,raw,bounded,8.0,17,103
0.01,0.7463368561332067,3.8140090431114234e-05,0.12725774848477373,2375679945769.9917,45.80733333059844,0,0,axis_plus_residual,1,raw,bounded,8.0,17,103
