variant,basis_name,fit_target,feature_budget,num_features,effective_params,bias_mse,table_fit_r2,target_fit_r2,residual_fit_r2,axis_plus_residual_fit_r2,coeff_norm,dataset,task,teacher_basis,teacher_seed,layer,head
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.0006778229624374401,0.38545477390289307,0.3854547687968687,nan,nan,0.5105594992637634,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,0.00014030958672764534,0.8727889060974121,0.8727889254363894,nan,nan,0.5468702912330627,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.00017207814004961968,-0.7518863677978516,0.10564310953714262,0.10564309358596802,nan,0.047819409519433975,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.0001643884676856647,-0.7449146509170532,0.14560932175980978,0.14560937881469727,nan,0.07939501851797104,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,oblique_residual,33,33,33,0.0001416525930235711,-0.7243010997772217,0.2637764879023534,0.26377642154693604,nan,0.1035136952996254,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,oblique_residual,55,55,55,0.00010262832709003505,-0.6889199018478394,0.4666007462471312,0.4666007161140442,nan,0.1283586025238037,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,oblique_residual,110,109,109,9.420676525386365e-05,-0.6812845468521118,0.5103708721589237,0.5103708505630493,nan,0.12660034000873566,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,oblique_residual,225,225,225,6.743376950406132e-05,-0.6570111513137817,0.6495205237082952,0.6495205163955688,nan,0.1439432054758072,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,axis_plus_residual,5,5,5,0.00017207814004961968,0.8439860939979553,0.10564310953714262,0.10564309358596802,0.8439860939979553,0.047819409519433975,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,axis_plus_residual,15,15,15,0.0001643884676856647,0.8509579300880432,0.14560932175980978,0.14560937881469727,0.8509579300880432,0.07939501851797104,cifar10,reconstruction,relative_2d_table,477,0,1
