dataset,task,eval_mode,sector,n,score_mean,score_std,delta_vs_full_mean,gain_vs_zero_mean,coeff_energy_share_mean,sector_features
cifar10,reconstruction,ablate,axial_J0,3,0.43082257111867267,0.10056747132160654,-0.3213646610577901,0.21314815680185953,0.5537682706426247,56
cifar10,reconstruction,ablate,const,3,0.7522699038187662,0.04446037549233857,8.26716423034668e-05,0.5345954895019531,0.006480284737458839,1
cifar10,reconstruction,ablate,oblique_J0,3,0.4597023328145345,0.08967110654600177,-0.2924848993619283,0.24202791849772134,0.4397514438391514,52
cifar10,reconstruction,full,all_positional,3,0.7521872321764628,0.04472025771733716,0.0,0.5345128178596497,1.0,109
cifar10,reconstruction,keep,axial_J0,3,0.45911524693171185,0.08981235515576945,-0.293071985244751,0.24144083261489868,0.5537682706426247,56
cifar10,reconstruction,keep,const,3,0.21772491931915283,0.003423741125687783,-0.5344623128573099,5.050500233968099e-05,0.006480284737458839,1
cifar10,reconstruction,keep,oblique_J0,3,0.43069422245025635,0.10008090598057257,-0.3214930097262065,0.2130198081334432,0.4397514438391514,52
cifar10,reconstruction,zero_bias,none,3,0.21767441431681314,0.0034644460464551374,-0.5345128178596497,0.0,0.0,0
