basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,source,table_id,target_std,target_norm
dct_top13,13,0.8261913061141968,3.795269731199369e-05,1.0000026226043701,0.021278712898492813,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H1,0.01477697491645813,0.6094495058059692
dct_top73,73,0.9640250205993652,7.855462172301486e-06,1.0000027418136597,0.02353512868285179,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H1,0.01477697491645813,0.6094495058059692
constant,1,0.0,0.00027923713787458837,1.0,1.813926120419751e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
fft_top36_J0,73,0.9344961047172546,1.829112079576589e-05,1.0000038146972656,0.022844944149255753,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
fft_top36_J1,217,0.9860326051712036,3.900214323948603e-06,199865920.0,0.5605296492576599,9.220483779907227,9.014384269714355,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
fft_top36_J2,433,0.993159294128418,1.9101764792139875e-06,1119933440.0,1.0554879903793335,6.021883010864258,9.093286514282227,8.906352043151855,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
fft_top36_J2_coord_shuffle,433,0.1625778079032898,0.00023383938241750002,350935136.0,2.6727452278137207,38.44617462158203,70.58497619628906,67.96468353271484,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
dct_top13,13,0.8825085163116455,3.2807984098326415e-05,1.0000032186508179,0.02594059146940708,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
dct_top73,73,0.9791346788406372,5.826377218909329e-06,1.0000030994415283,0.02769576385617256,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H2,0.016710389405488968,0.689189612865448
constant,1,5.960464477539063e-08,0.00023017251805868,1.0,1.1460088433778992e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
