basis,n,r2_mean,r2_std,r2_min,r2_max
fft_top36_J2,3,0.9906841516494751,0.00157493152538456,0.9886623620986938,0.9925042986869812
fft_top36_J1,3,0.9821021556854248,0.0027859584882422668,0.9788448810577393,0.9856504201889038
dct_top73,3,0.9718342423439026,0.0041017268418920136,0.9664459824562073,0.9763888120651245
fft_top36_J0,3,0.9409418702125549,0.0007917893949325032,0.9398223161697388,0.9415202140808105
dct_top13,3,0.8660804828008016,0.009392659386190336,0.8534578084945679,0.8759742975234985
fft_top36_J2_coord_shuffle,3,0.1463479002316793,0.006452093274024155,0.13742172718048096,0.15245014429092407
constant,3,0.0,0.0,0.0,0.0
